# ============================================================
# EXCLUDED ITEMS REPORT
# Items that did NOT pass verification
# ============================================================
# Generated: 2025-12-01 02:55:29
# Total excluded: 986
# Format: ItemID,ItemName,ExclusionReason,FileFound
# ============================================================

901,Daenggie,NPC Shop: countitem in npc/pre-re/merchants/hair_style.txt; NPC Shop: delitem in npc/pre-re/merchants/hair_style.txt; Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt,npc/pre-re/merchants/hair_style.txt; npc/custom/quests/thq/THQS_Quests.txt
904,Scorpion Tail,Job quest: countitem in npc/jobs/2-2/rogue.txt; Job quest: delitem in npc/jobs/2-2/rogue.txt; Quest requirement: countitem in npc/quests/the_sign_quest.txt,npc/jobs/2-2/rogue.txt; npc/quests/the_sign_quest.txt
905,Stem,Quest requirement: countitem in npc/re/quests/quests_eclage.txt; Quest requirement: delitem in npc/re/quests/quests_eclage.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/re/quests/quests_eclage.txt; npc/jobs/2-2/monk.txt
906,Pointed Scale,Quest requirement: countitem in npc/quests/skills/archer_skills.txt; Quest requirement: delitem in npc/quests/skills/archer_skills.txt; Quest requirement: countitem in npc/quests/first_class/tu_archer.txt,npc/quests/skills/archer_skills.txt; npc/quests/first_class/tu_archer.txt
907,Resin,Job quest: countitem in npc/jobs/novice/supernovice.txt; Job quest: delitem in npc/jobs/novice/supernovice.txt; Quest requirement: countitem in npc/quests/the_sign_quest.txt,npc/jobs/novice/supernovice.txt; npc/quests/the_sign_quest.txt
908,Spawn,Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/re/quests/newgears/2010_headgears.txt; npc/jobs/2-2/rogue.txt
909,Jellopy,Job quest: countitem in npc/re/jobs/novice/academy.txt; Job quest: delitem in npc/re/jobs/novice/academy.txt; Custom script: delitem in npc/re/custom/lasagna/lasagna_npcs.txt,npc/re/jobs/novice/academy.txt; npc/re/custom/lasagna/lasagna_npcs.txt
910,Garlet,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Quest reward: getitem in npc/quests/quests_umbala.txt,npc/re/quests/eden/26-40.txt; npc/quests/quests_umbala.txt
911,Scell,Quest requirement: countitem in npc/quests/skills/thief_skills.txt; Quest requirement: delitem in npc/quests/skills/thief_skills.txt,npc/quests/skills/thief_skills.txt
912,Zargon,Job quest: countitem in npc/jobs/1-1e/gunslinger.txt; Job quest: delitem in npc/jobs/1-1e/gunslinger.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/jobs/1-1e/gunslinger.txt; npc/jobs/2-2/monk.txt
913,Tooth of Bat,Job quest: countitem in npc/jobs/2-2/rogue.txt; Job quest: delitem in npc/jobs/2-2/rogue.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/jobs/2-2/rogue.txt; npc/jobs/2-2/monk.txt
