# ============================================================
# VERIFIED MATERIALS FROM REGULAR MONSTERS ONLY
# Items that ONLY drop from regular mobs (NO boss drops)
# ============================================================
# Generated: 2025-12-07 07:32:36.543166
# Total items: 194
#
# These items do NOT drop from any MVP, Mini-Boss, or Event mob
# Safe for use without affecting boss hunting rewards
#
# Format: ItemID,AegisName,ItemName,MobCount
# ============================================================

904,Scorpion's_Tail,Scorpion Tail,2
906,Pointed_Scale,Pointed Scale,7
907,Resin,Resin,3
917,Talon,Talon,2
922,Orcish_Cuspid,Orc's Fang,1
924,Powder_Of_Butterfly,Powder of Butterfly,4
926,Scale_Of_Snakes,Snake Scale,5
929,Immortal_Heart,Immortal Heart,1
941,Nose_Ring,Nose Ring,2
944,Horseshoe,Horseshoe,2
951,Fin,Fin,8
952,Cactus_Needle,Cactus Needle,2
954,Shining_Scales,Shining Scale,4
957,Decayed_Nail,Decayed Nail,1
958,Horrendous_Mouth,Horrendous Mouth,5
959,Rotten_Scale,Stinky Scale,1
961,Conch,Conch,1
972,Karvodailnirol,Karvodailnirol,6
1004,Patriotism_Marks,Chivalry Emblem,2
1006,Old_Magic_Book,Old Magicbook,3
1012,Lizard_Scruff,Frill,2
1016,Rat_Tail,Rat Tail,1
1017,Moustache_Of_Mole,Mole Whiskers,3
1018,Nail_Of_Mole,Mole Claw,2
1033,Root_Of_Maneater,Maneater Root,5
1037,Dragon_Train,Dragon Tail,5
1041,Lantern,Lantern,2
1043,Nail_Of_Orc,Orc Claw,1
1044,Tooth_Of_,Zenorc's Fang,1
1045,Sacred_Masque,Cultish Masque,2
1053,Tooth_Of_Ancient_Fish,Ancient Tooth,2
1054,Lip_Of_Ancient_Fish,Ancient Lips,3
1056,Grit,Grit,3
1058,Wing_Of_Moth,Moth Wings,1
1060,Golden_Hair,Golden Hair,2
1063,Sharpened_Cuspid,Fang,1
1064,Reins,Reins,1
1066,Tree_Of_Archer_1,Fine-grained Trunk,1
1067,Tree_Of_Archer_2,Solid Trunk,1
1068,Tree_Of_Archer_3,Barren Trunk,1
1069,Mushroom_Of_Thief_1,Orange Net Mushroom,1
1070,Mushroom_Of_Thief_2,Orange Gooey Mushroom,1
1096,Round_Shell,Round Shell,4
1098,Manacles,Manacles,2
1099,Worn_Out_Prison_Uniform,Worn-out Prison Uniform,2
7001,Mould_Powder,Mould Powder,3
7002,Ogre_Tooth,Ogre Tooth,1
7003,Anolian_Skin,Anolian Skin,2
