# ============================================================
# VERIFIED PURE MOB DROP MATERIALS DATABASE
# Pre-Renewal rAthena - Safe for Custom Content
# ============================================================
# Generated: 2025-12-01 02:55:29
# Total verified items: 129
# 
# These items:
#   - Exist in db/pre-re/item_db_etc.yml
#   - Drop from mobs in db/pre-re/mob_db.yml
#   - Have NO references in any NPC scripts
#   - Are fully tradeable
#   - Are safe for custom content
# 
# Format: ItemID,AegisName,ItemName,Weight
# ============================================================

902,Tree_Root,Tree Root,10
903,Reptile_Tongue,Reptile Tongue,10
922,Orcish_Cuspid,Orc's Fang,10
928,Insect_Feeler,Insect Feeler,10
967,Turtle_Shell,Turtle Shell,10
1014,Jaws_Of_Ant,Ant Jaw,10
1031,Limb_Of_Mantis,Mantis Scythe,10
1034,Cobold_Hair,Blue Hair,10
1039,Petite_DiablOfs_Wing,Little Evil Wing,10
1044,Tooth_Of_,Zenorc's Fang,10
1045,Sacred_Masque,Cultish Masque,10
1056,Grit,Grit,10
1063,Sharpened_Cuspid,Fang,10
1098,Manacles,Manacles,10
7006,Wing_Of_Red_Bat,Wing of Red Bat,10
7007,Claw_Of_Rat,Claw of Rat,10
7008,Stiff_Horn,Stiff Horn,10
7009,Glitter_Shell,Glitter Shell,10
7010,Tail_Of_Steel_Scorpion,Tail of Steel Scorpion,10
7011,Claw_Of_Monkey,Claw of Monkey,10
7016,Spoon_Stub,Spoon Stub,20
7067,Stone_Piece,Stone Fragment,10
7070,Broken_Shell,Broken Shell,10
7071,Tatters_Clothes,Tattered Clothes,10
7072,Rust_Suriken,Old Shuriken,10
7095,Broken_Steel_Piece,Metal Fragment,10
7107,Gaoat's_Skin,Antelope Skin,10
7108,Boroken_Shiled_Piece,Piece of Shield,10
7109,Shine_Spear_Blade,Shining Spear Blade,10
7113,Broken_Pharaoh_Symbol,Broken Pharaoh Emblem,10
7116,Harpy's_Claw,Harpy Talon,10
7124,Sand_Lump,Sand Clump,10
7125,Scropion's_Nipper,Scorpion Claw,10
7154,Poison_Powder,Poisonous Powder,10
7159,Tengu's_Nose,Tengu Nose,10
7162,Cloud_Piece,Cloud Crumb,10
7163,Sharp_Feeler,Hard Feeler,10
7168,Great_Wing,Giant Butterfly Wing,10
7169,Taegeuk_Plate,Ba Gua,10
7171,Leopard_Skin,Leopard Skin,10
7186,Thin_Stem,Thin Trunk,10
7192,Blade_Of_Pinwheel,Vane,10
7195,Air_Rifle,Slingshot,10
7202,Beetle_Nipper,Pincher of Beetle,10
7203,Solid_Twig,Strong Branch,10
7208,Rusty_Cleaver,Rusty Kitchen Knife,10
