// Copyable Skills Database
// List of skills able to be copied by Intimidate/Plagiarism and Reproduce.
//
// Sources:
// http://irowiki.org/wiki/Intimidate
//    -> "Intimidate will copy any 2nd class skill"
// http://irowiki.org/wiki/Reproduce/List_of_reproducible_skills
//    -> "Players can reproduce 1-x, 2-x, and 3-x skills and Expanded Class,
//        but cannot reproduce transcendent skills"
//
// Structure of Database:
// SkillName,Option{,JobAllowed{,RequirementRemoved}}
//
// Option (bitmask) determines how a skill can be copied.
//	1 = Plagiarism
//	2 = Reproduce
//
// JobAllowed (bitmask) restricts copying the skill to certain classes.
// By default, all jobs can copy the skill (0).
//	 1 = Rogue
//	 2 = Stalker
//	 4 = Shadow Chaser
//	 8 = Trans. Shadow Chaser
//	16 = Baby Rouge
//	32 = Baby Shadow Chaser
//	
// RequirementRemoved (bitmask) removes requirements when casting a copied skill.
// See 'skill_require_db.txt' for specific skill requirements.
//	   0 = uses original requirement(s)
//	   1 = hp
//	   2 = maxhptrigger
//	   4 = sp
//	   8 = hprate
//	  16 = sprate
//	  32 = zeny
//	  64 = weapon type
//	 128 = ammo (with the amount)
//	 256 = state
//	 512 = statuses
//	1024 = spirit sphere
//	2048 = items (with the amount)
//	4096 = equipments
//
// Examples:
// AS_SONICBLOW,2,63,64
//	Sonic Blow can be copied by all jobs with only Plagiarism.
//	To use the copied skill, a Katar is not needed (a Sonic Blow weapon type requirement).
//
// CR_ACIDDEMONSTRATION,3,10
//	Acid Demonstration can only be copied by Stalker/Trans. Shadow Chaser with Plagiarism or Reproduce.
//	This mode simulates the previous battle config, which allowed only Trans. classes to copy Trans. skills.

// Swordsman
SM_BASH,3   //Bash
SM_MAGNUM,3 //Magnum Break

// Mage
MG_NAPALMBEAT,3 // Napalm Beat
MG_SOULSTRIKE,3 // Soul Strike
MG_COLDBOLT,3   // Cold Bolt
MG_FROSTDIVER,3 // Frost Diver
MG_FIREBALL,3   // Fire Ball
MG_FIREWALL,3   // Fire Wall
MG_FIREBOLT,3   // Fire Bolt
MG_LIGHTNINGBOLT,3 // Lightning Bolt
MG_THUNDERSTORM,3  // Thunderstorm

// Acolyte
AL_RUWACH,3 // Ruwach
AL_HEAL,3   // Heal

// Merchant
MC_MAMMONITE,3 // Mammonite

// Archer
AC_DOUBLE,3 // Double Strafe
AC_SHOWER,3 // Arrow Shower

// Thief
TF_POISON,3 // Envenom

// Resurrection
ALL_RESURRECTION,3 // Resurrection

// Knight
KN_BOWLINGBASH,3 // Bowling Bash

// Priest
PR_ASPERSIO,3   // Asperio
PR_BENEDICTIO,3 // B.S Sacramenti
PR_SANCTUARY,3  // Sanctuary
PR_TURNUNDEAD,3 // Turn Undead
PR_MAGNUS,3     // Magnus Exorcismus

// Wizard
WZ_FIREPILLAR,3  // Fire Pillar
WZ_SIGHTRASHER,3 // Sightrasher
WZ_METEOR,3      // Meteor Storm
WZ_JUPITEL,3     // Jupitel Thunder
WZ_VERMILION,3   // Lord of Vermillion
WZ_WATERBALL,3   // Water Ball
WZ_FROSTNOVA,3   // Frost Nova
WZ_STORMGUST,3   // Storm Gust
WZ_EARTHSPIKE,3  // Earth Spike
WZ_HEAVENDRIVE,3 // Heaven's Drive

// Hunter
HT_LANDMINE,3     // Land Mine
HT_FREEZINGTRAP,3 // Freezing Trap
HT_BLASTMINE,3    // Blast Mine
HT_CLAYMORETRAP,3 // Claymore Trap

// Assassin
AS_SPLASHER,3 // Venom Splasher

// 1st Job Quest Skills
AC_CHARGEARROW,3 // Arrow Repel
TF_THROWSTONE,3  // Stone Fling
AL_HOLYLIGHT,3   // Holy Light

// Rogue
RG_BACKSTAP,3 // Backstab

// Alchemist
AM_DEMONSTRATION,3 // Bomb
AM_ACIDTERROR,3    // Acid Terror

// Crusader
CR_SHIELDCHARGE,3    // Smite
CR_SHIELDBOOMERANG,3 // Shield Boomerang
CR_HOLYCROSS,3       // Holy Cross
CR_GRANDCROSS,3      // Grand Cross

// Monk
MO_TRIPLEATTACK,3    // Raging Trifecta Blow
MO_INVESTIGATE,3     // Occult Impaction
MO_FINGEROFFENSIVE,3 // Throw Spirit Sphere
MO_EXTREMITYFIST,3   // Asura Strike
MO_CHAINCOMBO,3      // Raging Quadruple Blow

// Item Skill
ITM_TOMAHAWK,3 // Throw Tomahawk

// TaeKwon Kid
TK_JUMPKICK,3 // Flying Kick

// Ninja
