// Water Height aliases for maps.
// It affects WATER related skills as Water Ball, creation Holy Water, etc
// map_name map_water_level_to_use
// Example: Use geffen's water level for prontera when prontera.rsw isn't found in the grf.
// prontera.gat	geffen.gat

force_1-1.gat	force_map1.gat
force_2-1.gat	force_map1.gat
force_3-1.gat	force_map1.gat
force_1-2.gat	force_map2.gat
force_2-2.gat	force_map2.gat
force_3-2.gat	force_map2.gat
force_1-3.gat	force_map3.gat
force_2-3.gat	force_map3.gat
force_3-3.gat	force_map3.gat
hunter_1-1.gat	job_hunter.gat
hunter_2-1.gat	job_hunter.gat
hunter_3-1.gat	job_hunter.gat
knight_1-1.gat	job_knight.gat
knight_2-1.gat	job_knight.gat
knight_3-1.gat	job_knight.gat
priest_1-1.gat	job_priest.gat
priest_2-1.gat	job_priest.gat
priest_3-1.gat	job_priest.gat
sword_1-1.gat	job_sword1.gat
sword_2-1.gat	job_sword1.gat
sword_3-1.gat	job_sword1.gat
wizard_1-1.gat	job_wizard.gat
wizard_2-1.gat	job_wizard.gat
wizard_3-1.gat	job_wizard.gat
new_1-1.gat	new_zone01.gat
new_2-1.gat	new_zone01.gat
new_3-1.gat	new_zone01.gat
new_4-1.gat	new_zone01.gat
new_5-1.gat	new_zone01.gat
new_1-2.gat	new_zone02.gat
new_2-2.gat	new_zone02.gat
new_3-2.gat	new_zone02.gat
new_4-2.gat	new_zone02.gat
new_5-2.gat	new_zone02.gat
new_1-3.gat	new_zone03.gat
new_2-3.gat	new_zone03.gat
new_3-3.gat	new_zone03.gat
new_4-3.gat	new_zone03.gat
new_5-3.gat	new_zone03.gat
new_1-4.gat	new_zone04.gat
new_2-4.gat	new_zone04.gat
new_3-4.gat	new_zone04.gat
new_4-4.gat	new_zone04.gat
new_5-4.gat	new_zone04.gat
ordeal_1-1.gat	ordeal_a00.gat
ordeal_2-1.gat	ordeal_a00.gat
ordeal_3-1.gat	ordeal_a00.gat
ordeal_1-2.gat	ordeal_a02.gat
ordeal_2-2.gat	ordeal_a02.gat
ordeal_3-2.gat	ordeal_a02.gat
ordeal_1-3.gat	ordeal_a03.gat
ordeal_2-3.gat	ordeal_a03.gat
ordeal_3-3.gat	ordeal_a03.gat
ordeal_1-4.gat	ordeal_a04.gat
ordeal_2-4.gat	ordeal_a04.gat
ordeal_3-4.gat	ordeal_a04.gat
pvp_n_1-1.gat	prt_maze02.gat
pvp_n_2-1.gat	prt_maze02.gat
pvp_n_3-1.gat	prt_maze02.gat
pvp_n_4-1.gat	prt_maze02.gat
pvp_n_5-1.gat	prt_maze02.gat
pvp_n_6-1.gat	prt_maze02.gat
pvp_n_7-1.gat	prt_maze02.gat
pvp_n_8-1.gat	prt_maze02.gat
pvp_n_1-2.gat	job_hunter.gat
pvp_n_2-2.gat	job_hunter.gat
pvp_n_3-2.gat	job_hunter.gat
