// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

// Meister ABR's
20834,ABR_BATTLE_WARIOR,ABR Battle Warrior,ABR Battle Warrior,200,20000,1,0,0,1,0,0,200,40,10,10,10,10,10,10,10,12,1,0,20,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20835,ABR_DUAL_CANNON,ABR Duel Cannon,ABR Duel Cannon,200,20000,1,0,0,9,0,0,200,40,10,10,10,10,10,10,10,12,1,0,20,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20836,ABR_MOTHER_NET,ABR Mother Net,ABR Mother Net,200,20000,1,0,0,4,0,0,200,40,10,10,10,10,10,10,10,12,1,0,20,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20837,ABR_INFINITY,ABR Infinity,ABR Infinity,200,20000,1,0,0,9,0,0,200,40,10,10,10,10,10,10,10,12,2,0,20,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// Biolo Bionic's
20848,SUMMON_WOODENWARRIOR,Wooden Warrior,Wooden Warrior,200,20000,1,0,0,1,0,0,200,40,10,10,10,10,10,10,10,12,1,3,22,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20849,SUMMON_WOODEN_FAIRY,Wooden Fairy,Wooden Fairy,200,20000,1,0,0,3,0,0,200,40,10,10,10,10,10,10,10,12,1,3,22,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20850,SUMMON_CREEPER,Creeper,Creeper,200,20000,1,0,0,4,0,0,200,40,10,10,10,10,10,10,10,12,1,3,22,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20851,SUMMON_HELLTREE,Hell Tree,Hell Tree,200,20000,1,0,0,1,0,0,200,40,10,10,10,10,10,10,10,12,1,3,22,0x3295,200,1000,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
