// Skill Times Database
//
// Structure of Database:
// SkillID,CastingTime,AfterCastActDelay,AfterCastWalkDelay,Duration1,Duration2,Cool Down,Fixed Casting Time
//
// CastingTime: time to cast this skill, in milliseconds
// AfterCastActDelay: "normal" delay, character cannot use skills, in milliseconds
// AfterCastWalkDelay: amount of time before character can move again, in milliseconds
// Duration1/Duration2: usually the durations used by the skill, at special cases it is used to hold special data
// Cool Down: amount of time until character can re-use this skill, in milliseconds
// Fixed Casting Time: the skills fixed casting time (when 0, uses 20% of cast time and less than 0 means no fixed cast time)
//
// On all fields you can use ':' as a delimiter for level-specific values.
// For example:
// - Original: 6,0,0,0,30000,0,1000
// - Modified: 6,0,0,0,30000,0,1000:2500:3000:...
// Gives Level 1 1000ms cool down, Level 2 2500ms, Level 3 3000ms, and so on.

//===== Dragon Knight ======================
//-- DK_SERVANTWEAPON
5201,0,0,0,30000:60000:90000:120000:150000,5000:4000:3000:2000:1000,30000:60000:90000:120000:150000,0
//-- DK_SERVANTWEAPON_ATK
5202,0,0,0,0,0,0,0
//-- DK_SERVANT_W_SIGN
5203,0,0,0,2000:4000:6000:8000:10000,0,0,0
//-- DK_SERVANT_W_PHANTOM - Pitch Darkness status??? A new common status but don't know the duration.
5204,0,500,0,20000,0,2000,500
//-- DK_SERVANT_W_DEMOL
5205,0,500,0,0,0,3000,0
//-- DK_CHARGINGPIERCE
5206,0,500,0,90000:100000:110000:120000:130000:140000:150000:160000:170000:180000,5000,60000,0
//-- DK_TWOHANDDEF
//5207,0,0,0,0,0,0,0
//-- DK_HACKANDSLASHER
5208,0,500,0,0,0,0,0
//-- DK_HACKANDSLASHER_ATK
5209,0,0,0,0,0,0,0
//-- DK_DRAGONIC_AURA
5210,0,1000,0,300000,0,60000,0
//-- DK_MADNESS_CRUSHER
5211,0,500,0,0,0,2000,500
//-- DK_VIGOR
5212,0,0,0,30000:60000:90000:120000:150000:180000:210000:240000:270000:300000,0,60000,0
//-- DK_STORMSLASH
5213,0,500,0,0,0,1000,0
//==========================================

//===== Arch Mage ==========================
//-- AG_DEADLY_PROJECTION
5214,4000,500,0,4000:5000:6000:7000:8000,0,2000,1500
//-- AG_DESTRUCTIVE_HURRICANE - C LV 1
5215,4000,1000,0,0,900000,6000,1500
//-- AG_RAIN_OF_CRYSTAL - C LV 5
5216,3000,500,0,4000,0,5000,1500
//-- AG_MYSTERY_ILLUSION - C LV 5
5217,4000,1000,0,4000,0,4000,1500
//-- AG_VIOLENT_QUAKE
5218,4000,1000,0,1200:2400:3600:4800:6000,30000,6000,1500
//-- AG_VIOLENT_QUAKE_ATK
5219,0,0,0,100,0,0,0
//-- AG_SOUL_VC_STRIKE - C LV 5
5220,3000,500,0,0,0,700,1000
//-- AG_STRANTUM_TREMOR - Cooldown is 4 or 5 seconds?
5221,3000,500,0,4000,0,5000,1500
//-- AG_ALL_BLOOM
5222,4000,1000,0,1200:2400:3600:4800:6000,30000,6000,1500
//-- AG_ALL_BLOOM_ATK
5223,0,0,0,100,0,0,0
//-- AG_ALL_BLOOM_ATK2
5224,0,0,0,100,0,0,0
//-- AG_CRYSTAL_IMPACT - C LV 1
5225,4000,1000,0,0,900000,6000,1500
//-- AG_CRYSTAL_IMPACT_ATK
5226,0,0,0,0,0,0,0
//-- AG_TORNADO_STORM - C LV 5
5227,3000,500,0,3000,0,5000,1500
//-- AG_TWOHANDSTAFF
//5228,0,0,0,0,0,0,0
//-- AG_FLORAL_FLARE_ROAD - C LV 5
5229,3000,500,0,5000,0,5000,1500
//-- AG_ASTRAL_STRIKE
5230,8000,500,0,15000,0,60000,2000
//-- AG_ASTRAL_STRIKE_ATK
5231,0,0,0,0,0,0,0
//-- AG_CLIMAX - C LV 4
5232,0,300,0,300000,0,300000,4000
//-- AG_ROCK_DOWN
5233,4000,1000,0,0,0,4000,1500
//-- AG_STORM_CANNON - C LV 1
5234,4000,1000,0,0,0,4000,1500
//-- AG_CRIMSON_ARROW - C LV 1
5235,4000,1000,0,0,0,4000,1500
//-- AG_CRIMSON_ARROW_ATK
5236,0,0,0,0,0,0,0
//-- AG_FROZEN_SLASH - C LV 1
5237,4000,1000,0,0,0,4000,1500
//==========================================

//===== Inquisitor =========================
//-- IQ_POWERFUL_FAITH
5238,2000,500,0,120000:150000:180000:210000:240000,0,60000,1000
//-- IQ_FIRM_FAITH
5239,2000,500,0,120000:150000:180000:210000:240000,0,60000,1000
//-- IQ_WILL_OF_FAITH
//5240,0,0,0,0,0,0,0
//-- IQ_OLEUM_SANCTUM
5241,0,500,0,3000:4000:5000:6000:7000,0,5000,0
//-- IQ_SINCERE_FAITH
5242,2000,500,0,120000:150000:180000:210000:240000,0,60000,1000
//-- IQ_MASSIVE_F_BLASTER
5243,0,500,0,300000,0,60000,0
//-- IQ_EXPOSION_BLASTER
5244,0,500,0,0,0,5000,0
//-- IQ_FIRST_BRAND
5245,0,0,0,1000:2000:3000:4000:5000,0,500,0
//-- IQ_FIRST_FAITH_POWER
5246,2000,500,0,60000:120000:180000:240000:300000,0,150000,1000
//-- IQ_JUDGE
5247,2000,500,0,60000:120000:180000:240000:300000,0,150000,1000
//-- IQ_SECOND_FLAME
5248,0,0,0,5000,0,1000,0
//-- IQ_SECOND_FAITH
5249,0,0,0,5000,0,1000,0
//-- IQ_SECOND_JUDGEMENT
5250,0,0,0,5000,0,1000,0
//-- IQ_THIRD_PUNISH
5251,0,0,0,600000,0,2000,0
//-- IQ_THIRD_FLAME_BOMB
5252,0,0,0,0,0,2000,0
