// GROUP,Item ID1,Item ID2,Item ID3,...,Item ID20
//
1,501,502,503,504,505,506	// potions
2,507,508,509,510,511		// herbs
3,512,513,514,515,516		// fruits
4,517,528			// meat
5,529,530			// candy
6,531,532,534		// juices (removed Grape juice 533)
7,544,551			// raw fish
8,603,617,644			// boxes
9,715,716,717			// gemstones
10,909,7126			// jellopy/giant jellopy
11,756,757,998,999,1002,1003,1010,1011	// ores
12,512,513,514,515,516,517,528,529,530,544,551	// food types
13,501,502,503,504,505,506,507,508,509,510,511,531,532,533,534	// recovery-types
14,714,756,757,969,984,985,990,991,992,993,994,995,996,997,998,999,1002,1003,1010,1011	// minerals
15,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,659,660,661	// taming items
16,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,12000,12001,12002,12003	//scrolls
17,12004,12005,12006,12007,12008,12009,12010,12011,12012,12013,12014,12015	//quivers
18,2263,2278,2288,2297,5043,5087,5088,5089,5090	//masks
19,2601,2602,2603,2604,2605,2606,2607,2608,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2640,2641,2648,2649,2650,2651 //accessory
20,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733 // jewels
