// GroupID,ItemID,Rate
// 
// First Aid Kit
8,501,5		// Red Potion
8,502,5		// Orange Potion
8,503,5		// Yellow Potion
8,504,5		// White Potion
8,505,5		// Blue Potion
8,506,5		// Green Potion
8,545,5		// Condensed Red Potion
8,546,5		// Condensed Yellow Potion
8,547,5		// Condensed White Potion
8,569,5		// Novice Potion
8,605,5		// Anodyne
8,645,5		// Concentration Potion
8,656,5		// Awakening Potion
8,657,5		// Berserk Potion
8,678,1		// Poison Bottle
8,12016,4	// Speed Potion
8,12017,5	// Slow Potion
8,12020,5	// Cursed_Water
// Herbs
9,507,1		// Red Herb
9,508,1		// Yellow Herb
9,509,1		// White Herb
// Fruits
10,512,1	// Apple
10,513,1	// Banana
10,514,1	// Grape
10,515,1	// Carrot
10,516,1	// Potato
// Meat
11,517,1	// Meat
11,528,1	// Monster Food
// Candy
12,529,1	// Candy
12,530,1	// Candy Cane
// Juice
13,531,1	// Apple Juice
13,532,1	// Banana Juice
13,534,1	// Carrot Juice
// Fish
14,544,1	// Raw Fish
14,551,1	// Sushi
// Boxes
15,603,1	// Old Blue Box
15,617,1	// Old Purple Box
15,644,1	// Gift Box
// Gemstones
16,715,1	// Yellow Gemstone
16,716,1	// Red Gemstone
16,717,1	// Blue Gemstone
// Elemental Resist Potions
17,12118,1	// Fire Resist Potion
17,12119,1	// Cold Resist Potion
17,12120,1	// Earth Resist Potion
17,12121,1	// Thunder Resist Potion
// Ores
18,756,1	// Rough Oridecon
18,757,1	// Rough Elunium
18,998,1	// Iron
18,999,1	// Steel
18,1002,1	// Iron Ore
18,1003,1	// Coal
18,1010,1	// Phracon
18,1011,1	// Emveretarcon
// Food Types
19,512,1	// Apple
19,513,1	// Banana
19,514,1	// Grape
19,515,1	// Carrot
19,516,1	// Potato
19,517,1	// Meat
19,528,1	// Monster Food
19,529,1	// Candy
19,530,1	// Candy Cane
19,544,1	// Raw Fish
19,551,1	// Sushi
// Recovery Types
20,501,1	// Red Potion
20,502,1	// Orange Potion
20,503,1	// Yellow Potion
20,504,1	// White Potion
20,505,1	// Blue Potion
20,506,1	// Green Potion
20,507,1	// Red Herb
20,508,1	// Yellow Herb
20,509,1	// White Herb
20,510,1	// Blue Herb
20,511,1	// Green Herb
20,531,1	// Apple Juice
20,532,1	// Banana Juice
20,533,1	// Grape Juice
20,534,1	// Carrot Juice
// Minerals
21,714,1	// Emperium
21,756,1	// Rough Oridecon
21,757,1	// Rough Elunium
