// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,SCORPION,Scorpion,1001
1001,Scorpion,1000000
1002,Poring,1000000
1004,Hornet,1000000
1005,Familiar,1000000
1007,Fabre,1000000
1008,Pupa,1000000
1009,Condor,1000000
1010,Willow,1000000
1011,Chonchon,1000000
1012,Roda Frog,1000000
1013,Wolf,1000000
1014,Spore,1000000
1015,Zombie,1000000
1016,Archer Skeleton,1000000
1017,Thief Bug Female,1000000
1018,Creamy,1000000
1019,Peco Peco,1000000
1020,Mandragora,1000000
1021,Thief Bug Male,1000000
1023,Orc Warrior,1000000
1024,Wormtail,1000000
1025,Snake,1000000
1026,Munak,1000000
1027,Raptice,1000000
1028,Soldier Skeleton,1000000
1029,Isis,1000000
1030,Anacondaq,1000000
1031,Poporing,1000000
1032,Verit,1000000
1033,Elder Willow,1000000
1034,Thara Frog,1000000
1035,Hunter Fly,1000000
1036,Ghoul,1000000
1037,Side Winder,1000000
1040,Golem,1000000
1041,Mummy,1000000
1042,Steel Chonchon,1000000
1043,Seahorse,1000000
1044,Obeaune,1000000
1045,Marc,1000000
1047,Peco Peco Egg,1000000
1048,Thief Bug Egg,1000000
1049,Picky,1000000
1050,Picky,1000000
1051,Thief Bug,1000000
1052,Rocker,1000000
1055,Muka,1000000
1056,Smokie,1000000
1057,Yoyo,1000000
1058,Metaller,1000000
1060,Bigfoot,1000000
1061,Nightmare,1000000
1062,Santa Poring,1000000
1063,Lunatic,1000000
1064,Megalodon,1000000
1065,Strouf,1000000
1066,Vadon,1000000
1067,Cornutus,1000000
1068,Hydra,1000000
1069,Swordfish,1000000
1070,Kukre,1000000
1071,Pirate Skeleton,1000000
1072,Kaho,1000000
1076,Skeleton,1000000
1077,Poison Spore,1000000
1078,Red Plant,1000000
1079,Blue Plant,1000000
1080,Green Plant,1000000
1081,Yellow Plant,1000000
1082,White Plant,1000000
1083,Shining Plant,1000000
1084,Black Mushroom,1000000
1085,Red Mushroom,1000000
1088,Vocal,1000000
1089,Toad,1000000
1090,Mastering,1000000
1091,Dragon Fly,1000000
1092,Vagabond Wolf,1000000
1093,Eclipse,1000000
1094,Ambernite,1000000
1095,Andre,1000000
1096,Angeling,1000000
1097,Ant Egg,1000000
1099,Argiope,1000000
1100,Argos,1000000
1101,Baphomet Jr.,1000000
1102,Bathory,1000000
1103,Caramel,1000000
1104,Coco,1000000
1105,Deniro,1000000
1106,Desert Wolf,1000000
1107,Baby Desert Wolf,1000000
1108,Deviace,1000000
1109,Deviruchi,1000000
1110,Dokebi,1000000
1111,Drainliar,1000000
1113,Drops,1000000
1114,Dustiness,1000000
1116,Eggyra,1000000
1117,Evil Druid,1000000
1118,Flora,1000000
1119,Frilldora,1000000
1120,Ghostring,1000000
1121,Giearth,1000000
1122,Goblin,1000000
1123,Goblin,1000000
1124,Goblin,1000000
1125,Goblin,1000000
1126,Goblin,1000000
1127,Hode,1000000
1128,Horn,1000000
1129,Horong,1000000
1130,Jakk,1000000
1131,Joker,1000000
1132,Khalitzburg,1000000
1133,Kobold,1000000
1134,Kobold,1000000
1135,Kobold,1000000
1138,Magnolia,1000000
1139,Mantis,1000000
