// Red Pouch of Surprise Summonable Monsters Database
//
// Structure of Database:
// MobRandomGroupID,MobID,DummyName,Rate

MOBG_Red_Pouch_Of_Surprise,0,Poring,1002
MOBG_Red_Pouch_Of_Surprise,1001,Scorpion,214285
MOBG_Red_Pouch_Of_Surprise,1002,Poring,1000000
MOBG_Red_Pouch_Of_Surprise,1004,Hornet,357142
MOBG_Red_Pouch_Of_Surprise,1005,Familiar,357142
MOBG_Red_Pouch_Of_Surprise,1007,Fabre,428571
MOBG_Red_Pouch_Of_Surprise,1008,Pupa,71428
MOBG_Red_Pouch_Of_Surprise,1009,Condor,357142
MOBG_Red_Pouch_Of_Surprise,1010,Willow,357142
MOBG_Red_Pouch_Of_Surprise,1011,Chonchon,357142
MOBG_Red_Pouch_Of_Surprise,1012,Roda Frog,357142
MOBG_Red_Pouch_Of_Surprise,1013,Wolf,357142
MOBG_Red_Pouch_Of_Surprise,1014,Spore,357142
MOBG_Red_Pouch_Of_Surprise,1015,Zombie,357142
MOBG_Red_Pouch_Of_Surprise,1016,Archer Skeleton,214285
MOBG_Red_Pouch_Of_Surprise,1018,Creamy,357142
MOBG_Red_Pouch_Of_Surprise,1019,Peco Peco,357142
MOBG_Red_Pouch_Of_Surprise,1020,Mandragora,357142
MOBG_Red_Pouch_Of_Surprise,1023,Orc Warrior,214285
MOBG_Red_Pouch_Of_Surprise,1024,Wormtail,357142
MOBG_Red_Pouch_Of_Surprise,1025,Boa,357142
MOBG_Red_Pouch_Of_Surprise,1026,Munak,214285
MOBG_Red_Pouch_Of_Surprise,1028,Soldier Skeleton,214285
MOBG_Red_Pouch_Of_Surprise,1029,Isis,71428
MOBG_Red_Pouch_Of_Surprise,1030,Anacondaq,214285
MOBG_Red_Pouch_Of_Surprise,1031,Poporing,357142
MOBG_Red_Pouch_Of_Surprise,1032,Verit,214285
MOBG_Red_Pouch_Of_Surprise,1033,Elder Willow,214285
MOBG_Red_Pouch_Of_Surprise,1034,Thara Frog,214285
MOBG_Red_Pouch_Of_Surprise,1035,Hunter Fly,71428
MOBG_Red_Pouch_Of_Surprise,1036,Ghoul,214285
MOBG_Red_Pouch_Of_Surprise,1037,Side Winder,71428
MOBG_Red_Pouch_Of_Surprise,1040,Golem,214285
MOBG_Red_Pouch_Of_Surprise,1041,Mummy,214285
MOBG_Red_Pouch_Of_Surprise,1042,Steel Chonchon,357142
MOBG_Red_Pouch_Of_Surprise,1044,Obeaune,214285
MOBG_Red_Pouch_Of_Surprise,1045,Marc,214285
MOBG_Red_Pouch_Of_Surprise,1047,Peco Peco Egg,71428
MOBG_Red_Pouch_Of_Surprise,1048,Thief Bug Egg,71428
MOBG_Red_Pouch_Of_Surprise,1049,Picky,357142
MOBG_Red_Pouch_Of_Surprise,1050,Picky,357142
MOBG_Red_Pouch_Of_Surprise,1051,Thief Bug,357142
MOBG_Red_Pouch_Of_Surprise,1052,Rocker,357142
MOBG_Red_Pouch_Of_Surprise,1053,Thief Bug Female,357142
MOBG_Red_Pouch_Of_Surprise,1054,Thief Bug Male,357142
MOBG_Red_Pouch_Of_Surprise,1055,Muka,357142
MOBG_Red_Pouch_Of_Surprise,1056,Smokie,357142
MOBG_Red_Pouch_Of_Surprise,1057,Yoyo,357142
MOBG_Red_Pouch_Of_Surprise,1058,Metaller,214285
MOBG_Red_Pouch_Of_Surprise,1060,Bigfoot,214285
MOBG_Red_Pouch_Of_Surprise,1061,Nightmare,71428
MOBG_Red_Pouch_Of_Surprise,1062,Santa Poring,357142
MOBG_Red_Pouch_Of_Surprise,1063,Lunatic,357142
MOBG_Red_Pouch_Of_Surprise,1064,Megalodon,214285
MOBG_Red_Pouch_Of_Surprise,1065,Strouf,214285
MOBG_Red_Pouch_Of_Surprise,1066,Vadon,357142
MOBG_Red_Pouch_Of_Surprise,1067,Cornutus,214285
MOBG_Red_Pouch_Of_Surprise,1068,Hydra,357142
MOBG_Red_Pouch_Of_Surprise,1069,Swordfish,214285
