// List of SC that will be removed if there is SC that will be activated
//
// SC,RemoveSC,Return
//
// SC        : Incoming SC
// RemoveSC  : SC that will be removed. Some SC still needs hardcodes check. For multiple values, use ':' delimiter
// Return    : When SC is ending SCs, it will gives no effect from itself.
//

SC_STONE,SC_DANCING
SC_FREEZE,SC_DANCING
SC_STUN,SC_DANCING
SC_SLEEP,SC_DANCING
//SC_POISON
//SC_CURSE
//SC_SILENCE,SC_GOSPEL
//SC_CONFUSION
//SC_BLIND
//SC_BLEEDING
//SC_DPOISON
//SC_PROVOKE
//SC_ENDURE
//SC_TWOHANDQUICKEN
//SC_CONCENTRATE
SC_HIDING,SC_CLOSECONFINE:SC_CLOSECONFINE2
//SC_CLOAKING
//SC_ENCPOISON
//SC_POISONREACT
SC_QUAGMIRE,SC_CONCENTRATE:SC_TRUESIGHT:SC_WINDWALK:SC_MAGNETICFIELD:SC_CARTBOOST:SC_GN_CARTBOOST:SC_INCREASEAGI:SC_ADRENALINE:SC_ADRENALINE2:SC_SPEARQUICKEN:SC_TWOHANDQUICKEN:SC_ONEHAND:SC_MERC_QUICKEN:SC_ACCELERATION
//SC_ANGELUS
//SC_BLESSING
//SC_SIGNUMCRUCIS
SC_INCREASEAGI,SC_DECREASEAGI:SC_ADORAMUS
SC_DECREASEAGI,SC_CARTBOOST:SC_GN_CARTBOOST:SC_INCREASEAGI:SC_ADRENALINE:SC_ADRENALINE2:SC_SPEARQUICKEN:SC_TWOHANDQUICKEN:SC_ONEHAND:SC_MERC_QUICKEN:SC_ACCELERATION
//SC_SLOWPOISON
//SC_IMPOSITIO
//SC_SUFFRAGIUM
//SC_ASPERSIO
//SC_BENEDICTIO
SC_KYRIE,SC_ASSUMPTIO
//SC_MAGNIFICAT
//SC_GLORIA
//SC_AETERNA
//SC_ADRENALINE
//SC_WEAPONPERFECTION
//SC_OVERTHRUST
//SC_MAXIMIZEPOWER
SC_TRICKDEAD,SC_DANCING
//SC_LOUD
//SC_ENERGYCOAT
//SC_BROKENARMOR
//SC_BROKENWEAPON
//SC_HALLUCINATION
//SC_WEIGHT50
//SC_WEIGHT90
//SC_ASPDPOTION0
//SC_ASPDPOTION1
//SC_ASPDPOTION2
//SC_ASPDPOTION3
//SC_SPEEDUP0
//SC_SPEEDUP1
//SC_ATKPOTION
//SC_MATKPOTION
//SC_WEDDING
//SC_SLOWDOWN
//SC_ANKLE
//SC_KEEPING
//SC_BARRIER
//SC_STRIPWEAPON
//SC_STRIPSHIELD
//SC_STRIPARMOR
//SC_STRIPHELM
//SC_CP_WEAPON
//SC_CP_SHIELD
//SC_CP_ARMOR
//SC_CP_HELM
//SC_AUTOGUARD
SC_REFLECTSHIELD,SC_REFLECTDAMAGE
//SC_SPLASHER
//SC_PROVIDENCE
//SC_DEFENDER
//SC_MAGICROD
//SC_SPELLBREAKER
//SC_AUTOSPELL
//SC_SIGHTTRASHER
//SC_AUTOBERSERK
//SC_SPEARQUICKEN
//SC_AUTOCOUNTER
//SC_SIGHT
//SC_SAFETYWALL
//SC_RUWACH
//SC_EXTREMITYFIST
//SC_EXPLOSIONSPIRITS
//SC_COMBO
//SC_BLADESTOP_WAIT
//SC_BLADESTOP
//SC_FIREWEAPON
//SC_WATERWEAPON
//SC_WINDWEAPON
//SC_EARTHWEAPON
//SC_VOLCANO
//SC_DELUGE,SC_BLIND:SC_FOGWALL
//SC_VIOLENTGALE
//SC_WATK_ELEMENT
//SC_ARMOR
//SC_ARMOR_ELEMENT
//SC_NOCHAT
//SC_PROTECTEXP
//SC_AURABLADE
//SC_PARRYING
//SC_CONCENTRATION
//SC_TENSIONRELAX
//SC_BERSERK,SC_ONEHAND:SC_CONCENTRATION:SC_PARRYING:SC_AURABLADE:SC_MERC_QUICKEN
//SC_FURY
//SC_GOSPEL
SC_ASSUMPTIO,SC_KYRIE:SC_KAITE
//SC_BASILICA
//SC_GUILDAURA
SC_MAGICPOWER,SC_MAGICPOWER
//SC_EDP
//SC_TRUESIGHT
//SC_WINDWALK
//SC_MELTDOWN
SC_CARTBOOST,SC_DECREASEAGI:SC_ADORAMUS,1
//SC_CHASEWALK
//SC_REJECTSWORD
//SC_MARIONETTE
//SC_MARIONETTE2
SC_CHANGEUNDEAD,SC_BLESSING:SC_INCREASEAGI
//SC_JOINTBEAT
//SC_MINDBREAKER
//SC_MEMORIZE
//SC_FOGWALL
//SC_SPIDERWEB
//SC_DEVOTION
//SC_SACRIFICE
//SC_STEELBODY
//SC_ORCISH
//SC_READYSTORM
//SC_READYDOWN
//SC_READYTURN
//SC_READYCOUNTER
//SC_DODGE
//SC_RUN
//SC_SHADOWWEAPON
//SC_ADRENALINE2
//SC_GHOSTWEAPON
//SC_KAIZEL
//SC_KAAHI
//SC_KAUPE
SC_ONEHAND,SC_ASPDPOTION0:SC_ASPDPOTION1:SC_ASPDPOTION2:SC_ASPDPOTION3
//SC_PRESERVE
//SC_BATTLEORDERS
//SC_REGENERATION
//SC_DOUBLECAST
//SC_GRAVITATION
SC_MAXOVERTHRUST,SC_OVERTHRUST
//SC_LONGING
//SC_HERMODE
//SC_SHRINK
//SC_SIGHTBLASTER
//SC_WINKCHARM
//SC_CLOSECONFINE
//SC_CLOSECONFINE2
//SC_DANCING
//SC_ELEMENTALCHANGE
//SC_RICHMANKIM
//SC_ETERNALCHAOS
//SC_DRUMBATTLE
//SC_NIBELUNGEN
//SC_ROKISWEIL
//SC_INTOABYSS
//SC_SIEGFRIED
//SC_WHISTLE
//SC_ASSNCROS
//SC_POEMBRAGI
//SC_APPLEIDUN
//SC_MODECHANGE
//SC_HUMMING
SC_DONTFORGETME,SC_INCREASEAGI:SC_ADRENALINE:SC_ADRENALINE2:SC_SPEARQUICKEN:SC_TWOHANDQUICKEN:SC_ONEHAND:SC_MERC_QUICKEN:SC_ACCELERATION
//SC_FORTUNE
//SC_SERVICE4U
//SC_STOP
//SC_SPURT
//SC_SPIRIT
//SC_COMA
//SC_INTRAVISION
//SC_INCALLSTATUS
//SC_INCSTR
//SC_INCAGI
//SC_INCVIT
//SC_INCINT
//SC_INCDEX
//SC_INCLUK
//SC_INCHIT
//SC_INCHITRATE
//SC_INCFLEE
//SC_INCFLEERATE
//SC_INCMHPRATE
//SC_INCMSPRATE
//SC_INCATKRATE
//SC_INCMATKRATE
//SC_INCDEFRATE
SC_STRFOOD,SC_FOOD_STR_CASH
SC_AGIFOOD,SC_FOOD_AGI_CASH
SC_VITFOOD,SC_FOOD_VIT_CASH
SC_INTFOOD,SC_FOOD_INT_CASH
SC_DEXFOOD,SC_FOOD_DEX_CASH
SC_LUKFOOD,SC_FOOD_LUK_CASH
//SC_HITFOOD
//SC_FLEEFOOD
//SC_BATKFOOD
//SC_WATKFOOD
//SC_MATKFOOD
//SC_SCRESIST
//SC_XMAS
//SC_WARM
//SC_SUN_COMFORT
//SC_MOON_COMFORT
//SC_STAR_COMFORT
SC_FUSION,SC_SPIRIT
//SC_SKILLRATE_UP
//SC_SKE
SC_KAITE,SC_ASSUMPTIO
//SC_SWOO
//SC_SKA
//SC_EARTHSCROLL
//SC_MIRACLE
SC_MADNESSCANCEL,SC_ADJUSTMENT
SC_ADJUSTMENT,SC_MADNESSCANCEL
//SC_INCREASING
//SC_GATLINGFEVER
//SC_TATAMIGAESHI
