// Quest Database
//
// Structure of Database :
// Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,Quest Title
//
1000,0,0,0,0,0,0,0,"Transcend"
1001,0,0,0,0,0,0,0,"Job Change to Acolyte"
1002,0,0,0,0,0,0,0,"Job Change to Acolyte"
1003,0,0,0,0,0,0,0,"Job Change to Acolyte"
1004,0,0,0,0,0,0,0,"Job Change to Archer"
1005,0,0,0,0,0,0,0,"Job Change to Mage"
1006,0,0,0,0,0,0,0,"Job Change to Mage"
1007,0,0,0,0,0,0,0,"Job Change to Mage"
1008,0,0,0,0,0,0,0,"Job Change to Mage"
1009,0,0,0,0,0,0,0,"Job Change to Merchant"
1010,0,0,0,0,0,0,0,"Job Change to Merchant"
1011,0,0,0,0,0,0,0,"Job Change to Merchant"
1012,0,0,0,0,0,0,0,"Job Change to Merchant"
1013,0,0,0,0,0,0,0,"Job Change to Thief"
1014,0,0,0,0,0,0,0,"Job Change to Swordman"
1015,0,0,0,0,0,0,0,"Your first quest"
1016,0,0,0,0,0,0,0,"Gaining base levels"
2000,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2001,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2002,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2003,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2004,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2005,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2006,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2007,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2008,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2009,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2010,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2011,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2012,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2013,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2014,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2015,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2016,0,0,0,0,0,0,0,"Job Change to Blacksmith"
2017,0,0,0,0,0,0,0,"Job Change to Rogue"
2018,0,0,0,0,0,0,0,"Job Change to Rogue"
2019,0,0,0,0,0,0,0,"Job Change to Rogue"
2020,0,0,0,0,0,0,0,"Job Change to Rogue"
2021,0,0,0,0,0,0,0,"Job Change to Rogue"
2022,0,0,0,0,0,0,0,"Job Change to Rogue"
2023,0,0,0,0,0,0,0,"Job Change to Rogue"
2024,0,0,0,0,0,0,0,"Job Change to Rogue"
2025,0,0,0,0,0,0,0,"Job Change to Rogue"
2026,0,0,0,0,0,0,0,"Job Change to Rogue"
2027,0,0,0,0,0,0,0,"Job Change to Rogue"
2028,0,0,0,0,0,0,0,"Job Change to Alchemist"
2029,0,0,0,0,0,0,0,"Job Change to Alchemist"
2030,0,0,0,0,0,0,0,"Job Change to Alchemist"
2031,0,0,0,0,0,0,0,"Job Change to Alchemist"
2032,0,0,0,0,0,0,0,"Job Change to Alchemist"
2033,0,0,0,0,0,0,0,"Job Change to Alchemist"
2034,0,0,0,0,0,0,0,"Job Change to Alchemist"
2035,0,0,0,0,0,0,0,"Job Change to Alchemist"
2036,0,0,0,0,0,0,0,"Job Change to Alchemist"
2037,0,0,0,0,0,0,0,"Job Change to Alchemist"
2038,0,0,0,0,0,0,0,"Job Change to Alchemist"
2039,0,0,0,0,0,0,0,"Job Change to Alchemist"
2040,0,0,0,0,0,0,0,"Job Change to Alchemist"
2041,0,0,0,0,0,0,0,"Job Change to Sage"
2042,0,0,0,0,0,0,0,"Job Change to Sage"
2043,0,0,0,0,0,0,0,"Job Change to Sage"
2044,0,0,0,0,0,0,0,"Job Change to Sage"
2045,0,0,0,0,0,0,0,"Job Change to Sage"
2046,0,0,0,0,0,0,0,"Job Change to Sage"
2047,0,0,0,0,0,0,0,"Job Change to Sage"
2048,0,0,0,0,0,0,0,"Job Change to Sage"
2049,0,0,0,0,0,0,0,"Job Change to Sage"
2050,0,0,0,0,0,0,0,"Job Change to Sage"
2051,0,0,0,0,0,0,0,"Job Change to Sage"
2052,0,0,0,0,0,0,0,"Job Change to Sage"
2053,0,0,0,0,0,0,0,"Job Change to Sage"
2054,0,0,0,0,0,0,0,"Job Change to Sage"
2055,0,0,0,0,0,0,0,"Job Change to Sage"
2056,0,0,0,0,0,0,0,"Job Change to Sage"
2057,0,0,0,0,0,0,0,"Job Change to Sage"
2058,0,0,0,0,0,0,0,"Job Change to Sage"
2059,0,0,0,0,0,0,0,"Job Change to Sage"
2060,0,0,0,0,0,0,0,"Job Change to Sage"
2061,0,0,0,0,0,0,0,"Job Change to Sage"
2062,0,0,0,0,0,0,0,"Job Change to Sage"
2063,0,0,0,0,0,0,0,"The Crow of the Fate - 1"
2064,0,0,0,0,0,0,0,"The Crow of the Fate - 2"
2065,0,0,0,0,0,0,0,"The Crow of the Fate - 3"
2066,0,0,0,0,0,0,0,"The Crow of the Fate - 4"
2067,0,0,0,0,0,0,0,"The Crow of the Fate - 5"
2068,0,0,0,0,0,0,0,"The Crow of the Fate - 6"
2069,300,0,0,0,0,0,0,"Tierra Gorge Battle"
2070,300,0,0,0,0,0,0,"Flavius Battle"
2071,0,0,0,0,0,0,0,"Cursed Property"
2072,0,0,0,0,0,0,0,"Cursed Property"
2073,0,0,0,0,0,0,0,"Cursed Property"
2074,0,0,0,0,0,0,0,"Cursed Property"
2075,0,0,0,0,0,0,0,"Cursed Property"
2076,0,0,0,0,0,0,0,"Cursed Property"
2077,0,0,0,0,0,0,0,"Cursed Property"
2078,0,0,0,0,0,0,0,"Cursed Property"
2079,0,0,0,0,0,0,0,"The past went wrong"
2080,0,0,0,0,0,0,0,"The past went wrong"
2081,0,0,0,0,0,0,0,"The past went wrong"
2082,0,0,0,0,0,0,0,"The past went wrong"
2083,0,0,0,0,0,0,0,"The past went wrong"
2084,0,0,0,0,0,0,0,"The past went wrong"
2085,0,0,0,0,0,0,0,"The past went wrong"
2086,0,0,0,0,0,0,0,"The Enterprise"
2087,0,0,0,0,0,0,0,"The Enterprise"
2088,0,0,0,0,0,0,0,"The Enterprise"
2089,0,0,0,0,0,0,0,"The Enterprise"
2090,0,0,0,0,0,0,0,"The Enterprise"
2091,0,0,0,0,0,0,0,"The Enterprise"
2092,0,0,0,0,0,0,0,"The Enterprise"
2093,0,0,0,0,0,0,0,"The Enterprise"
2094,0,0,0,0,0,0,0,"The Enterprise"
2095,0,0,0,0,0,0,0,"The Enterprise"
2109,0,0,0,0,0,0,0,"A Mage in the Ice Dungeon"
2110,0,0,0,0,0,0,0,"A Mage in the Ice Dungeon"
2111,0,0,0,0,0,0,0,"A Mage in the Ice Dungeon"
2112,0,0,0,0,0,0,0,"A Mage in the Ice Dungeon"
2113,0,0,0,0,0,0,0,"A Mage in the Ice Dungeon"
2114,0,0,0,0,0,0,0,"Thor Volcano base camp"
2115,0,0,0,0,0,0,0,"Thor Volcano base camp"
2116,0,0,0,0,0,0,0,"Thor Volcano base camp"
2117,0,0,0,0,0,0,0,"Thor Volcano base camp"
2118,0,0,0,0,0,0,0,"Thor Volcano base camp"
2119,0,0,0,0,0,0,0,"Thor Volcano base camp"
2120,0,0,0,0,0,0,0,"Thor Volcano base camp"
2121,0,0,0,0,0,0,0,"Thor Volcano base camp"
2122,0,0,0,0,0,0,0,"Thor Volcano base camp"
2123,0,0,0,0,0,0,0,"Thor Volcano base camp"
2124,0,0,0,0,0,0,0,"Thor Volcano base camp"
2125,0,0,0,0,0,0,0,"Thor Volcano base camp"
2126,0,0,0,0,0,0,0,"Thor Volcano base camp"
2127,0,0,0,0,0,0,0,"Thor Volcano base camp"
2128,0,0,0,0,0,0,0,"Thor Volcano base camp"
2129,0,0,0,0,0,0,0,"Thor Volcano base camp"
2130,0,0,0,0,0,0,0,"Thor Volcano base camp"
2131,0,0,0,0,0,0,0,"Thor Volcano base camp"
//
2143,0,0,0,0,0,0,0,"Guild Dungeon Event"
2144,0,0,0,0,0,0,0,"Guild Dungeon Event"
//
2147,0,0,0,0,0,0,0,"Attitude to the New"
2148,0,0,0,0,0,0,0,"Attitude to the New"
2149,0,0,0,0,0,0,0,"Attitude to the New"
2150,0,1995,30,0,0,0,0,"Attitude to the New"
2151,0,1992,10,0,0,0,0,"Attitude to the New"
2152,0,0,0,0,0,0,0,"Attitude to the New"
2153,0,0,0,0,0,0,0,"Attitude to the New"
2154,0,0,0,0,0,0,0,"Attitude to the New"
2155,0,0,0,0,0,0,0,"Attitude to the New"
2156,0,0,0,0,0,0,0,"Attitude to the New"
2157,0,1986,10,0,0,0,0,"Attitude to the New"
2158,0,0,0,0,0,0,0,"Finding a Fairy"
2159,0,0,0,0,0,0,0,"Finding a Tree Giant"
2179,0,0,0,0,0,0,0,"Dr. Lifeguard's request"
2180,0,0,0,0,0,0,0,"Dr. Lifeguard's request"
2181,0,0,0,0,0,0,0,"Dr. Lifeguard's request"
2182,64800,0,0,0,0,0,0,"Rough Minerals"
2183,0,0,0,0,0,0,0,"Flower of Alfheim"
2184,0,0,0,0,0,0,0,"Flower of Alfheim"
2185,0,0,0,0,0,0,0,"Spirit of Alfheim"
2186,64800,0,0,0,0,0,0,"Helping Grenouille"
3000,0,0,0,0,0,0,0,"Job Change to Bard"
3001,0,0,0,0,0,0,0,"Job Change to Bard"
3002,0,0,0,0,0,0,0,"Job Change to Bard"
3003,0,0,0,0,0,0,0,"Job Change to Bard"
3004,0,0,0,0,0,0,0,"Job Change to Bard"
3006,0,0,0,0,0,0,0,"Job Change to Crusader"
3007,0,0,0,0,0,0,0,"Job Change to Crusader"
3008,0,0,0,0,0,0,0,"Job Change to Crusader"
3009,0,0,0,0,0,0,0,"Job Change to Crusader"
3010,0,0,0,0,0,0,0,"Job Change to Crusader"
3011,0,0,0,0,0,0,0,"Job Change to Crusader"
3012,0,0,0,0,0,0,0,"Job Change to Crusader"
3013,0,0,0,0,0,0,0,"Job Change to Crusader"
3014,0,0,0,0,0,0,0,"Job Change to Crusader"
3015,0,0,0,0,0,0,0,"Job Change to Crusader"
3016,0,0,0,0,0,0,0,"Job Change to Monk"
3017,0,0,0,0,0,0,0,"Job Change to Monk"
3018,0,0,0,0,0,0,0,"Job Change to Monk"
3019,0,0,0,0,0,0,0,"Job Change to Monk"
3020,0,0,0,0,0,0,0,"Job Change to Monk"
3021,0,0,0,0,0,0,0,"Job Change to Monk"
3022,0,0,0,0,0,0,0,"Job Change to Monk"
3023,0,0,0,0,0,0,0,"Job Change to Monk"
3024,0,0,0,0,0,0,0,"Job Change to Monk"
3025,0,0,0,0,0,0,0,"Job Change to Monk"
3026,0,0,0,0,0,0,0,"Job Change to Monk"
3027,0,0,0,0,0,0,0,"Job Change to Monk"
3028,0,0,0,0,0,0,0,"Job Change to Monk - Marathon"
3029,0,0,0,0,0,0,0,"Job Change to Monk - Final test"
//3030,0,0,0,0,0,0,0,"Job Change to Monk"
3031,0,0,0,0,0,0,0,"Job Change to Monk - Spiritual Training"
3032,0,0,0,0,0,0,0,"Job Change to Monk - Become a Monk"
3040,43200,0,0,0,0,0,0,"The Curse of Baphomet"
3041,180,0,0,0,0,0,0,"The Curse of Baphomet"
3042,0,0,0,0,0,0,0,"The Cursed Baphomet Doll"
3043,0,0,0,0,0,0,0,"The Gigantic Magestic Goat"
3044,0,0,0,0,0,0,0,"The Gigantic Magestic Goat"
