// Flagged Items
// <ItemID>,<Flag>
//
// <Flag>:
// 1 - As Dead Branch item (will be logged at `branchlog` table and cannot be used at 'nobranch' mapflag)
// 2 - As item group container, check player's inventory and weight before consumed
// NOTE: For removing flag by import file, use "-" to remove the flag. Example, 604,-1 will removes flag 1 from Branch_Of_Dead_Tree

// Logged as Dead Branch item
604,1 //Branch_Of_Dead_Tree
12103,1 //Bloody_Dead_Branch
12109,1 //Poring_Box
12024,1 //Red_Pouch_Of_Surprise

// Item group container
603,2 //Old_Blue_Box
616,2 //Old_Card_Album
617,2 //Old_Violet_Box
644,2 //Gift_Box
664,2 //Gift_Box_1
665,2 //Gift_Box_2
666,2 //Gift_Box_3
667,2 //Gift_Box_4
12023,2 //Giftbox_China
12025,2 //Egg_Boy
12026,2 //Egg_Girl
12038,2 //Lotto_Box04
12104,2 //Random_Quiver
12105,2 //Set_Of_Taiming_Item
12106,2 //Accessory_Box
12107,2 //Wrapped_Mask
12108,2 //Bundle_Of_Magic_Scroll
12110,2 //First_Aid_Kit
12111,2 //Food_Package
12130,2 //Cookie_Bag
12152,2 //Special_Box
12186,2 //Red_Box
12187,2 //Green_Box
12189,2 //Red_Box_
12194,2 //Hometown_Gift
12240,2 //Old_Yellow_Box
12244,2 //Old_Gift_Box
12246,2 //Magic_Card_Album
12248,2 //Masquerade_Ball_Box
12281,2 //Tresure_Box_WoE
12286,2 //Masquerade_Ball_Box2
12334,2 //Cherish_Box
12339,2 //Cherish_Box_Ori
12355,2 //Xmas_Gift
12356,2 //Louise_Costume_Box
12391,2 //Lucky_Egg_C
12403,2 //Lucky_Egg_C2
12416,2 //Lucky_Egg_C3
12473,2 //RWC_Parti_Box
12474,2 //RWC_Final_Comp_Box
12477,2 //Gift_Bundle
12479,2 //Caracas_Ring_Box
12492,2 //Crumpled_Paper
12493,2 //Lucky_Egg_C4
12537,2 //Solo_Gift_Basket
12538,2 //Couple_Event_Basket
12540,2 //GM_Warp_Box
12541,2 //Fortune_Cookie1
12542,2 //Fortune_Cookie2
12543,2 //Fortune_Cookie3
12545,2 //Lucky_Egg_C5
12573,2 //Fruit_Basket
12577,2 //Lucky_Egg_C6
12595,2 //Lucky_Egg_C7
12612,2 //Old_Coin_Pocket
12613,2 //High_Coin_Pocket
12614,2 //Mid_Coin_Pocket
12615,2 //Low_Coin_Pocket
12616,2 //Sgrade_Pocket
12617,2 //Agrade_Pocket
12618,2 //Bgrade_Pocket
12619,2 //Cgrade_Pocket
12620,2 //Dgrade_Pocket
12621,2 //Egrade_Pocket
12623,2 //High_Weapon_Box
12641,2 //Lucky_Egg_C8
12654,2 //Lucky_Egg_C9
12673,2 //Lucky_Egg_C10
12675,2 //Sg_Weapon_Supply_Box
12690,2 //Old_C_Album_Helm
12691,2 //Old_C_Album_Armor
12692,2 //Old_C_Album_Shield
12693,2 //Old_C_Album_Garment
12694,2 //Old_C_Album_Shoes
12695,2 //Old_C_Album_Acc
12698,2 //Old_C_Album_Weapon
12702,2 //Old_Bleu_Box
12703,2 //Holy_Egg_2
12714,2 //Easter_Scroll
12756,2 //New_Gift_Envelope
12767,2 //Passion_FB_Hat_Box
12768,2 //Cool_FB_Hat_Box
12769,2 //Victory_FB_Hat_Box
12770,2 //Glory_FB_Hat_Box
12771,2 //Passion_Hat_Box2
12772,2 //Cool_Hat_Box2
12773,2 //Victory_Hat_Box2
12826,2 //Wind_Type_Scroll
12827,2 //Water_Type_Scroll
12828,2 //Fire_Type_Scroll
12829,2 //Earth_Type_Scroll
12850,2 //Heaven_Scroll
12851,2 //Vocation_Scroll
12852,2 //Wisdom_Scroll
12853,2 //Patron_Scroll
12915,2 //Aspersio_5_Scroll_Box
12923,2 //Pet_Egg_Scroll_Box1
12924,2 //Pet_Egg_Scroll_Box2
12925,2 //Pet_Egg_Scroll1
12926,2 //Pet_Egg_Scroll2
12929,2 //Pet_Egg_Scroll_Box3
12930,2 //Pet_Egg_Scroll_Box4
12931,2 //Pet_Egg_Scroll_Box5
12932,2 //Pet_Egg_Scroll3
12933,2 //Pet_Egg_Scroll4
12934,2 //Pet_Egg_Scroll5
12935,2 //Infiltrator_Box
12936,2 //Muramasa_Box
12937,2 //Excalibur_Box
12938,2 //Combat_Knife_Box
12939,2 //Counter_Dagger_Box
12940,2 //Kaiser_Knuckle_Box
12941,2 //Pole_Axe_Box
12942,2 //Mighty_Staff_Box
12943,2 //Right_Epsilon_Box
12944,2 //Balistar_Box
12945,2 //Diary_Of_Great_Sage_Box
12946,2 //Asura_Box
12947,2 //Apple_Of_Archer_Box
12948,2 //Bunny_Band_Box
12949,2 //Sahkkat_Box
12950,2 //Lord_Circlet_Box
12951,2 //Elven_Ears_Box
12952,2 //Steel_Flower_Box
12953,2 //Critical_Ring_Box
12954,2 //Earring_Box
12955,2 //Ring_Box
12956,2 //Necklace_Box
12957,2 //Glove_Box
12958,2 //Brooch_Box
12959,2 //Rosary_Box
12960,2 //Safety_Ring_Box
12961,2 //Vesper_Core01_Box
12962,2 //Vesper_Core02_Box
12963,2 //Vesper_Core03_Box
12964,2 //Vesper_Core04_Box
12983,2 //Pet_Egg_Scroll_Box6
12984,2 //Pet_Egg_Scroll_Box7
12985,2 //Pet_Egg_Scroll_Box8
12986,2 //Pet_Egg_Scroll_Box9
12987,2 //Pet_Egg_Scroll_Box10
12988,2 //Pet_Egg_Scroll_Box11
