//
// Structure of Database:
// GroupID,ItemID,Rate
//
// Cookie Bag
IG_CookieBag,529,5		//Candy
IG_CookieBag,530,5		//Candy Cane
IG_CookieBag,538,5		//Well-baked Cookie
IG_CookieBag,539,5		//Piece of Cake
IG_CookieBag,558,1		//Chocolate
IG_CookieBag,559,1		//Hand-made Chocolate
IG_CookieBag,560,1		//Hand-made White Chocolate
IG_CookieBag,561,1		//White Chocolate
IG_CookieBag,564,5		//Rice Ball
IG_CookieBag,570,5		//Lucky Candy
IG_CookieBag,571,5		//Lucky Candy Cane
IG_CookieBag,572,5		//Lucky Cookie
IG_CookieBag,573,1		//Chocolate Drink
IG_CookieBag,12122,1	//Sesame Pastry
IG_CookieBag,12123,1	//Honey Pastry
IG_CookieBag,12124,1	//Rainbow Cake
// First Aid Kit
IG_FirstAid,501,5		// Red Potion
IG_FirstAid,502,5		// Orange Potion
IG_FirstAid,503,5		// Yellow Potion
IG_FirstAid,504,5		// White Potion
IG_FirstAid,505,5		// Blue Potion
IG_FirstAid,506,5		// Green Potion
IG_FirstAid,545,5		// Condensed Red Potion
IG_FirstAid,546,5		// Condensed Yellow Potion
IG_FirstAid,547,5		// Condensed White Potion
IG_FirstAid,569,5		// Novice Potion
IG_FirstAid,605,5		// Anodyne
IG_FirstAid,645,5		// Concentration Potion
IG_FirstAid,656,5		// Awakening Potion
IG_FirstAid,657,5		// Berserk Potion
IG_FirstAid,678,1		// Poison Bottle
IG_FirstAid,12016,5	// Speed Potion
IG_FirstAid,12017,5	// Slow Potion
IG_FirstAid,12020,5	// Cursed_Water
// Herbs
IG_Herb,507,1		// Red Herb
IG_Herb,508,1		// Yellow Herb
IG_Herb,509,1		// White Herb
// Fruits
IG_Fruit,512,1	// Apple
IG_Fruit,513,1	// Banana
IG_Fruit,514,1	// Grape
IG_Fruit,515,1	// Carrot
IG_Fruit,516,1	// Potato
// Meat
IG_Meat,517,1	// Meat
IG_Meat,528,1	// Monster Food
// Candy
IG_Candy,529,1	// Candy
IG_Candy,530,1	// Candy Cane
// Juice
IG_Juice,531,1	// Apple Juice
IG_Juice,532,1	// Banana Juice
IG_Juice,534,1	// Carrot Juice
// Fish
IG_Fish,544,1	// Raw Fish
IG_Fish,551,1	// Sushi
// Boxes
IG_Box,603,1	// Old Blue Box
IG_Box,617,1	// Old Purple Box
IG_Box,644,1	// Gift Box
// Gemstones
IG_Gemstone,715,1	// Yellow Gemstone
IG_Gemstone,716,1	// Red Gemstone
IG_Gemstone,717,1	// Blue Gemstone
// Elemental Resist Potions
IG_Resist,12118,1	// Fire Resist Potion
IG_Resist,12119,1	// Cold Resist Potion
IG_Resist,12120,1	// Earth Resist Potion
IG_Resist,12121,1	// Thunder Resist Potion
// Ores
IG_Ore,1002,30	// Iron_Ore
IG_Ore,998,28	// Iron
IG_Ore,993,26	// Yellow_Live
IG_Ore,1003,24	// Coal
IG_Ore,992,22	// Wind_Of_Verdure
IG_Ore,1010,20	// Phracon
IG_Ore,991,18	// Crystal_Blue
IG_Ore,990,16	// Boody_Red
IG_Ore,999,14	// Steel
IG_Ore,1011,12	// Emveretarcon
IG_Ore,757,10	// Elunium_Stone
IG_Ore,756,9	// Oridecon_Stone
IG_Ore,997,8	// Great_Nature
IG_Ore,996,7	// Rough_Wind
IG_Ore,995,6	// Mistic_Frozen
IG_Ore,994,5	// Flame_Heart
IG_Ore,985,4	// Elunium
IG_Ore,984,3	// Oridecon
IG_Ore,969,2	// Gold
IG_Ore,714,1	// Emperium
// Food Types
IG_Food,526,5	// Royal_Jelly
IG_Food,12042,10	// Str_Dish02
IG_Food,12057,10	// Agi_Dish02
IG_Food,12053,10	// Vit_Dish03
IG_Food,12062,10	// Dex_Dish02
IG_Food,12068,10	// Luk_Dish03
IG_Food,12047,10	// Int_Dish02
IG_Food,531,30	// Apple_Juice
IG_Food,532,30	// Banana_Juice
IG_Food,533,30	// Grape_Juice
IG_Food,534,30	// Carrot_Juice
IG_Food,538,30	// Well_Baked_Cookie
IG_Food,536,50	// Ice_Cream
IG_Food,544,50	// Fish_Slice
IG_Food,548,50	// Cheese
IG_Food,551,50	// Shusi
IG_Food,553,50	// Bun
IG_Food,554,50	// Mojji
IG_Food,535,50	// Pumpkin
IG_Food,516,100	// Sweet_Potato
IG_Food,513,100	// Banana
IG_Food,512,600	// Apple
// Recovery Types
IG_Recovery,522,5	// Fruit_Of_Mastela
IG_Recovery,521,5	// Leaflet_Of_Aloe
IG_Recovery,520,10	// Leaflet_Of_Hinal
IG_Recovery,545,10	// Red_Slim_Potion
IG_Recovery,12118,10	// Resist_Earth
IG_Recovery,508,20	// Yellow_Herb
IG_Recovery,501,20	// Red_Potion
IG_Recovery,511,30	// Green_Herb
IG_Recovery,507,30	// Red_Herb
IG_Recovery,569,50	// Novice_Potion
IG_Recovery,549,50	// Nice_Sweet_Potato
IG_Recovery,529,100	// Candy
IG_Recovery,528,200	// Monster's_Feed
IG_Recovery,550,600	// Popped_Rice
// Minerals - Unused
IG_Mineral,714,1	// Emperium
IG_Mineral,756,1	// Rough Oridecon
IG_Mineral,757,1	// Rough Elunium
IG_Mineral,969,1	// Gold
IG_Mineral,984,1	// Oridecon
IG_Mineral,985,1	// Elunium
IG_Mineral,990,1	// Red Blood
IG_Mineral,991,1	// Crystal Blue
IG_Mineral,992,1	// Wind of Verdure
IG_Mineral,993,1	// Green Live
IG_Mineral,994,1	// Flame Heart
IG_Mineral,995,1	// Mystic Frozen
IG_Mineral,996,1	// Rough Wind
IG_Mineral,997,1	// Great Nature
IG_Mineral,998,1	// Iron
IG_Mineral,999,1	// Steel
IG_Mineral,1002,1	// Iron Ore
IG_Mineral,1003,1	// Coal
IG_Mineral,1010,1	// Phracon
IG_Mineral,1011,1	// Emveretarcon
// Set Of Taiming Item
IG_Taming,619,1	// Unripe Apple
IG_Taming,620,1	// Orange Juice
IG_Taming,621,1	// Bitter Herb
IG_Taming,622,1	// Rainbow Carrot
IG_Taming,623,1	// Earthworm the Dude
IG_Taming,624,1	// Rotten Fish
IG_Taming,625,1	// Rusty Iron
IG_Taming,626,1	// Monster Juice
IG_Taming,627,1	// Sweet Milk
IG_Taming,628,1	// Well-Dried Bone
IG_Taming,629,1	// Singing Flower
IG_Taming,630,1	// Dew Laden Moss
IG_Taming,631,1	// Deadly Noxious Herb
IG_Taming,632,1	// Fatty Chubby Earthworm
IG_Taming,633,1	// Sweet Potato
IG_Taming,634,1	// Tropical Banana
IG_Taming,635,1	// Orc Trophy
IG_Taming,636,1	// No Recipient
IG_Taming,637,1	// Old Broom
IG_Taming,638,1	// Silver Knife of Chastity
IG_Taming,639,1	// Armlet of Obedience
IG_Taming,640,1	// Shining Stone
IG_Taming,641,1	// Contracts in Shadow
IG_Taming,642,1	// Book of the Devil
IG_Taming,659,1	// Her Heart
IG_Taming,660,1	// Forbidden Red Candle
IG_Taming,661,1	// Soft Apron
IG_Taming,10001,1	// Skull Helm
IG_Taming,10002,1	// Monster Oxygen Mask
IG_Taming,10003,1	// Transparent Headgear
IG_Taming,10004,1	// Pacifier
IG_Taming,10005,1	// Wig
IG_Taming,10006,1	// Queen's Hair Ornament
IG_Taming,10007,1	// Silk Ribbon
