// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,499,100	// White_Slim_Potion
598,32,100	// Light_Red_Pot
599,32,100	// Light_Orange_Pot
603,499,100	// Old_Blue_Box
617,499,100	// Old_Violet_Box
744,506,100	// Bunch_Of_Flowers
745,506,100	// Wedding_Bouquet
1177,32,100	// Muramash
1183,8,100	// BF_Two_Handed_Sword1
1184,8,100	// BF_Two_Handed_Sword2
1187,8,100	// Krieger_Twohand_Sword1
1192,8,100	// P_Slayer1
1193,8,100	// P_Slayer2
1197,8,100	// P_Slayer3
1243,8,100	// Novice_Knife
1272,32,100	// Scratcher
1279,8,100	// BF_Katar1
1280,8,100	// BF_Katar2
1281,8,100	// Krieger_Katar1
1282,8,100	// Krieger_Katar2
1289,8,100	// P_Katar1
1296,8,100	// Metal_Katar
//1299,8,100	//
1310,8,100	// Krieger_Onehand_Axe1
1313,8,100	// Tourist_Axe
//1319,8,100	//
1379,8,100	// BF_Two_Handed_Axe1
1380,8,100	// BF_Two_Handed_Axe2
1382,8,100	// Krieger_Twohand_Axe1
1391,8,100	// P_Two_Handed_Axe1
1398,8,100	// Metal_Two_Handed_Axe
//1399,8,100	//
1423,32,100	// Pole_XO
1425,8,100	// BF_Spear1
1426,8,100	// Krieger_Onehand_Spear1
1428,32,100	// Long_Horn_M
1429,32,100	// Hunting_Spear_M
1434,8,100	// P_Spear1
//1437,8,100	//
1482,8,100	// BF_Lance1
1486,8,100	// Krieger_Twohand_Spear1
1493,8,100	// Metal_Lance
//1495,8,100	//
1536,32,100	// Good_Morning_Star
1542,8,100	// BF_Morning_Star1
1543,8,100	// BF_Morning_Star2
1546,8,100	// Krieger_Onehand_Mace1
1566,32,100	// Diary_Of_Great_Basil
1574,8,100	// BF_Book1
1575,8,100	// BF_Book2
1576,8,100	// Krieger_Book1
1577,8,100	// Krieger_Book2
1579,32,100	// Death_Note_M
1583,8,100	// P_Book1
1588,8,100	// Metal_Book
//1591,8,100	//
//1598,8,100	//
1627,32,100	// Staffy
1632,8,100	// BF_Staff1
1633,8,100	// BF_Staff2
1634,8,100	// BF_Staff3
