// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

2,501,14	// Red Potion
2,502,14	// Orange Potion
2,503,14	// Yellow Potion
2,504,14	// White Potion
2,505,14	// Blue Potion
2,506,14	// Green Potion
2,507,14	// Red Herb
2,508,14	// Yellow Herb
2,509,14	// White Herb
2,510,14	// Blue Herb
2,511,14	// Green Herb
2,512,14	// Apple
2,513,14	// Banana
2,514,14	// Grape
2,515,14	// Carrot
2,516,14	// Potato
2,517,14	// Meat
2,518,14	// Honey
2,519,14	// Milk
2,520,14	// Hinalle Leaflet
2,521,14	// Aloe Leaflet
2,522,14	// Mastela Fruit
2,523,14	// Holy Water
2,525,14	// Panacea
2,526,14	// Royal Jelly
2,528,14	// Monster Food
2,529,14	// Candy
2,530,14	// Candy Cane
2,531,14	// Apple Juice
2,532,14	// Banana Juice
2,533,14	// Grape Juice
2,534,14	// Carrot Juice
2,535,14	// Pumpkin
2,536,14	// Ice Cream
2,537,14	// Pet Food
2,538,14	// Well-baked Cookie
2,539,14	// Piece of Cake
2,544,14	// Raw Fish
2,545,14	// Condensed Red Potion
2,546,14	// Condensed Yellow Potion
2,547,14	// Condensed White Potion
2,548,14	// Cheese
2,549,14	// Yam
2,550,14	// Rice Cake
2,551,14	// Sushi
2,553,14	// Bao
2,555,14	// Traditional Rice Cake
2,558,14	// Chocolate
2,561,14	// White Chocolate
2,601,14	// Fly Wing
2,602,14	// Butterfly Wing
2,604,214	// Dead Branch
2,605,14	// Anodyne
2,606,14	// Aloevera
2,607,14	// Yggdrasil Berry
2,608,14	// Yggdrasil Seed
2,609,14	// Amulet
2,610,14	// Yggdrasil Leaf
2,611,14	// Magnifier
2,612,14	// Mini Furnace
2,613,14	// Iron Hammer
2,614,14	// Golden Hammer
2,615,14	// Oridecon Hammer
2,616,1		// Old Card Album
2,617,103	// Old Purple Box
2,618,14	// Worn Out Scroll
2,619,14	// Unripe Apple
2,620,14	// Orange Juice
2,621,14	// Bitter Herb
2,622,14	// Rainbow Carrot
2,623,14	// Earthworm the Dude
2,624,14	// Rotten Fish
2,625,14	// Rusty Iron
2,626,14	// Monster Juice
2,627,14	// Sweet Milk
2,628,14	// Well-Dried Bone
2,629,14	// Singing Flower
2,630,14	// Dew Laden Moss
2,631,14	// Deadly Noxious Herb
2,632,14	// Fatty Chubby Earthworm
2,633,14	// Sweet Potato
2,634,14	// Tropical Banana
2,635,14	// Orc Trophy
2,636,14	// No Recipient
2,637,14	// Old Broom
2,638,14	// Silver Knife of Chastity
2,639,14	// Armlet of Obedience
2,640,14	// Shining Stone
2,641,14	// Contracts in Shadow
2,642,14	// Book of the Devil
2,643,14	// Pet Incubator
2,644,114	// Gift Box
2,645,14	// Concentration Potion
2,656,14	// Awakening Potion
2,657,14	// Berserk Potion
2,659,14	// Her Heart
2,663,14	// Songpyun
2,664,14	// Gift Box
2,665,14	// Gift Box
2,666,14	// Gift Box
2,667,14	// Gift Box
2,668,14	// Red_Envelope
2,678,14	// Poison Bottle
2,679,14	// Pilule
2,701,14	// Ora Ora
2,702,14	// Animal Gore
2,703,14	// Hinalle
2,704,14	// Aloe
2,705,14	// Clover
2,706,14	// Four Leaf Clover
2,707,14	// Singing Plant
2,708,14	// Ment
2,710,14	// Illusion Flower
2,711,14	// Shoot
2,712,14	// Flower
2,713,14	// Empty Bottle
2,715,14	// Yellow Gemstone
2,716,14	// Red Gemstone
2,717,14	// Blue Gemstone
2,718,14	// Garnet
2,719,14	// Amethyst
2,720,14	// Aquamarine
2,721,14	// Emerald
2,722,14	// Pearl
2,723,14	// Ruby
2,724,14	// Cursed Ruby
2,725,14	// Sardonyx
2,726,14	// Sapphire
2,727,14	// Opal
2,728,14	// Topaz
2,729,14	// Zircon
2,730,14	// 1carat Diamond
2,731,14	// 2carat Diamond
2,732,14	// 3carat Diamond
2,733,14	// Cracked Diamond
2,734,14	// Red Frame
2,735,14	// Chung Jah
2,736,14	// China
2,737,14	// Black Ladle
2,738,14	// Pencil Case
2,739,14	// Rouge
2,740,14	// Puppet
2,741,14	// Poring Doll
2,742,14	// Chonchon Doll
2,743,14	// Spore Doll
2,744,14	// Bouquet
2,745,14	// Wedding Bouquet
2,746,14	// Glass Bead
2,747,14	// Crystal Mirror
2,748,14	// Witherless Rose
2,749,14	// Frozen Rose
2,750,14	// Baphomet Doll
2,751,14	// Osiris Doll
2,752,14	// Grasshopper Doll
2,753,14	// Yoyo Doll
2,754,14	// Raccoon Doll
2,901,14	// Danggie
2,902,14	// Tree Root
2,903,14	// Reptile Tongue
2,904,14	// Scorpion Tail
2,905,14	// Stem
2,906,14	// Pointed Scale
2,907,14	// Resin
2,908,14	// Spawn
2,909,14	// Jellopy
2,910,14	// Garlet
2,911,14	// Scell
2,912,14	// Zargon
2,913,14	// Tooth of Bat
2,914,14	// Fluff
2,915,14	// Chrysalis
2,916,14	// Feather of Birds
2,917,14	// Talon
2,918,14	// Sticky Webfoot
2,919,14	// Animal Skin
2,920,14	// Wolf Claw
2,921,14	// Mushroom Spore
2,922,14	// Orc's Fang
2,923,14	// Evil Horn
2,924,14	// Powder of Butterfly
2,925,14	// Bill of Birds
2,926,14	// Snake Scale
2,928,14	// Insect Feeler
2,929,14	// Immortal Heart
2,930,14	// Rotten Bandage
2,931,14	// Orcish Voucher
2,932,14	// Skel-Bone
2,934,14	// Memento
2,935,14	// Shell
2,936,14	// Scale Shell
2,937,14	// Venom Canine
2,938,14	// Sticky Mucus
2,939,14	// Bee Sting
2,940,14	// Grasshopper's Leg
2,941,14	// Nose Ring
2,942,14	// Yoyo Tail
2,943,14	// Solid Shell
2,944,14	// Horseshoe
2,945,14	// Raccoon Leaf
2,946,14	// Snail's Shell
2,947,14	// Horn
2,948,14	// Bear's Footskin
2,949,14	// Feather
2,950,14	// Heart of Mermaid
2,951,14	// Fin
2,952,14	// Cactus Needle
2,953,14	// Stone Heart
2,954,14	// Shining Scale
2,955,14	// Worm Peeling
2,956,14	// Gill
2,957,14	// Decayed Nail
2,958,14	// Horrendous Mouth
2,959,14	// Stinky Scale
2,960,14	// Nipper
2,961,14	// Conch
2,962,14	// Tentacle
2,963,14	// Sharp Scale
2,964,14	// Crab Shell
2,965,14	// Clam Shell
2,966,14	// Clam Flesh
2,967,14	// Turtle Shell
2,968,14	// Heroic Emblem
2,969,14	// Gold
2,971,14	// Detrimindexta
2,972,14	// Karvodailnirol
2,973,14	// Counteragent
2,974,14	// Mixture
2,975,14	// Scarlet Dyestuff
2,976,14	// Lemon Dyestuff
2,978,14	// Cobaltblue Dyestuff
2,979,14	// Darkgreen Dyestuff
2,980,14	// Orange Dyestuff
2,981,14	// Violet Dyestuff
2,982,14	// White Dyestuff
2,983,14	// Black Dyestuff
2,986,14	// Anvil
2,987,14	// Oridecon Anvil
2,988,14	// Golden Anvil
2,989,14	// Emperium Anvil
2,990,14	// Red Blood
2,991,14	// Crystal Blue
2,992,14	// Wind of Verdure
2,993,14	// Green Live
2,994,14	// Flame Heart
2,995,14	// Mystic Frozen
2,996,14	// Rough Wind
2,997,14	// Great Nature
2,998,14	// Iron
2,999,14	// Steel
2,1000,14	// Star Crumb
2,1001,14	// Star Dust
2,1002,14	// Iron Ore
2,1003,14	// Coal
2,1004,14	// Chivalry Emblem
2,1005,14	// Hammer of Blacksmith
2,1006,14	// Old Magicbook
2,1007,14	// Necklace of Wisdom
2,1008,14	// Necklace of Oblivion
2,1009,14	// Hand of God
2,1010,14	// Phracon
2,1011,14	// Emveretarcon
2,1012,14	// Frill
2,1013,14	// Rainbow Shell
2,1014,14	// Ant Jaw
2,1015,14	// Tongue
2,1016,14	// Rat Tail
2,1017,14	// Mole Whiskers
2,1018,14	// Mole Claw
2,1019,14	// Trunk
2,1020,14	// Black Hair
2,1021,14	// Dokebi Horn
2,1022,14	// Nine Tails
2,1023,14	// Fish Tail
2,1024,14	// Squid Ink
2,1025,14	// Cobweb
2,1026,14	// Acorn
2,1027,14	// Porcupine Quill
2,1028,14	// Mane
2,1029,14	// Tiger Skin
2,1031,14	// Mantis Scythe
2,1032,14	// Maneater Blossom
2,1033,14	// Maneater Root
2,1034,14	// Blue Hair
2,1035,14	// Dragon Canine
2,1036,14	// Dragon Scale
2,1037,14	// Dragon Tail
2,1038,14	// Little Evil Horn
2,1039,14	// Little Evil Wing
2,1040,14	// Elder Pixie's Moustache
2,1041,14	// Lantern
2,1042,14	// Bug Leg
2,1043,14	// Orc Claw
2,1044,14	// Zenorc's Fang
2,1045,14	// Cultish Masque
2,1046,14	// Scorpion Nipper
2,1047,14	// Dead Medusa
2,1048,14	// Horrendous Hair
2,1049,14	// Skirt of Virgin
2,1050,14	// Tendon
2,1051,14	// Detonator
2,1052,14	// Single Cell
2,1053,14	// Ancient Tooth
2,1054,14	// Ancient Lips
2,1055,14	// Earthworm Peeling
2,1056,14	// Grit
2,1057,14	// Moth Dust
2,1058,14	// Moth Wings
2,1059,14	// Fabric
2,1060,14	// Golden Hair
2,1061,14	// Witched Starsand
2,1062,14	// Jack o' Pumpkin
2,1063,14	// Fang
2,1064,14	// Reins
2,1065,14	// Trap
2,1066,14	// Fine-grained Trunk
2,1067,14	// Solid Trunk
2,1068,14	// Barren Trunk
2,1088,14	// Morocc Solution
2,1089,14	// Payon Solution
2,1092,14	// Empty Test Tube
2,1093,14	// Empty Potion Bottle
2,1094,14	// Short Daenggie
2,1095,14	// Clock Hand
2,1096,14	// Round Shell
2,1097,14	// Worn Out Page
2,1098,14	// Manacles
2,1099,14	// Worn-out Prison Uniform
2,1102,7	// Sword
2,1105,7	// Falchion
2,1108,7	// Blade
2,1111,7	// Rapier
2,1114,7	// Scimitar
2,1117,7	// Katana
2,1120,7	// Tsurugi
2,1124,7	// Orcish sword
2,1125,7	// Ring Pommel Saber
2,1127,7	// Saber
2,1128,7	// Haedonggum
2,1129,7	// Flamberge
2,1147,1	// Town Sword
2,1148,1	// Star Dust Blade
2,1152,7	// Slayer
2,1155,7	// Bastard Sword
2,1158,7	// Two-Handed Sword
2,1162,7	// Broad Sword
2,1163,7	// Claymore
2,1202,7	// Knife
2,1205,7	// Cutter
2,1208,7	// Main Gauche
