//===== Athena Doc ========================================
//= Client Effects List
//===== By ================================================
//= Valaris, Spira, Au{R}oN, Tharis, HiddenDragon
//===== Version ===========================================
//= 2.1
//=========================================================
//= 1.0 - Formatted to the standard
//= 1.1 - New Effects, up to 2007/05/07 Sakexe. [Au{R}oN]
//= 1.2 - New Effects, up to 2007/07/12 Sakexe. [Au{R}oN]
//= 1.3 - New Effects, up to 2007/08/01 Sakexe. [Au{R}oN]
//= 1.4 - New Effects, up to 2007/09/11 Sakexe. [Au{R}oN]
//= 1.5 - New Effects, up to 2007/10/02 Sakexe. [Au{R}oN]
//= 1.6 - New Effects, up to 2008/01/02 Sakexe. [Au{R}oN]
//= 1.7 - New Effects, up to 2008/03/26 Sakexe. [Au{R}oN]
//= 1.8 - Corrected several effect descriptions. [L0ne_W0lf]
//= 1.9 - New Effects, up to 2008/05/28 Sakexe. [Au{R}oN]
//= 2.0 - New Effects, up to 2008/07/15 Sakexe. [Au{R}oN]
//= 2.1 - New Effects, up to 2008/08/06a Sakexe. [Au{R}oN]
//===== Description =======================================
//= A list of client-side effects sorted by their ID
//=========================================================

The following is a compiled list of visual and sound effects which the client
can produce when receiving a packet with id 0x1f3 (01f3 <ID>.l <type>.l).
Each list entry contains a number and a short description of the effect.
You can produce these effects ingame by doing "@effect <number> 22" (22=self).
It's also possible to attach effects to item/npc scripts by using 'misceffect'.

number	description
------	-----------
0.	Regular Hit
1.	Bash
2.	Melee Skill Hit
3.	Melee Skill Hit
4.	Melee Skill Hit
5.	Melee Skill Hit
6.	Being Warped
7.	Item Heal effect
8.	Yellow Ripple Effect
9.	Different Type of Heal
10.	Mammonite
11.	Endure
12.	Yellow cast aura
13.	Blue Box
14.	Blue restoring effect
15.	Soul Strike
16.	Hide
17.	Magnum Break
18.	Steal
19.	(Invalid)
20.	Envenom/Poison
21.	Detoxify
22.	Sight
23.	Stone Curse
24.	Fire Ball
25.	Fire Wall
26.	A sound (a swipe?)
27.	Frost Diver (Traveling to Target)
28.	Frost Diver (Hitting)
29.	Lightning Bolt
30.	Thunder Storm
31.	Weird bubbles launching from feet
32.	Small clustered explosions
33.	Ruwach
34.	Old Map Exit Animation (unused)
35.	Old Warp Portal (unused)
36.	Old Warp Portal (unused)
37.	AGI Up
38.	AGI Down
39.	Aqua Benedicta
40.	Signum Crucis
41.	Angelus
42.	Blessing
43.	Dex + Agi Up
44.	Little Fog Smoke.
45.	Faint Little Ball Things.
46.	Sand Wind
47.	Torch
48.	Small Piece of Glass
49.	Firebolt/Wall Hits
50.	Spinning Fire Thing
51.	Ice Elemental Hit
52.	Wind Elemental Hit
53.	Puff of Purpulish Smoke?
54.	Cast Initiation Aura (Water Element)
55.	Cast Initiation Aura (Fire Element)
56.	Cast Initiation Aura (Wind Element)
57.	Cast Initiation Aura (Earth Element)
58.	Cast Initiation Aura (Holy Element)
59.	Cast Initiation Aura (Poison Element)
60.	Cast target circle
61.	Old Warp Portal (NPC Warp, unused)
62.	Sight Trasher
63.	Moonlight Sphere
64.	Something Like Puruple/Yellow Light Bullet
65.	Something Like Absorb of Power
66.	Cure
67.	Provoke
68.	MVP Banner
69.	Skid Trap
70.	Brandish Spear
71.	Spiral White balls
72.	Bigger Spiral White balls
73.	Blue/White Small Aura
74.	Ice Wall
75.	Gloria
76.	Magnificat
77.	Resurrection
78.	Status Recovery
79.	Earth Spike
80.	Spear Boomerang
81.	Skill hit
82.	Turn Undead
83.	Sanctuary
84.	Impositio Manus
85.	Lex Aeterna
86.	Aspersio
87.	Lex Divina
88.	Suffragium
89.	Storm Gust
90.	Lord of Vermilion
91.	B. S. Sacramenti
92.	Meteor Storm
93.	Jupitel Thunder (Ball)
94.	Jupitel Thunder (Hit)
95.	Quagmire
96.	Fire Pillar
97.	Fire Pillar/Land Mine hit
98.	Adrenaline Rush
99.	Flasher Trap
100.	Yellow ball fountain
101.	Weapon Repair
102.	Hammerfall
103.	Weapon Perfection
104.	Maximize Power
105.	(nothing)
106.	Blast Mine Trap
107.	Claymore Trap
108.	Freezing Trap
109.	Bailaban Blue bubble Map Effect
110.	Trap Used by Giearth
111.	Spring Trap
112.	Kyrie Eleison
113.	Magnus Exorcismus
114.	Old Magnus Exorcismus Map Unit (unused)
115.	Blitz Beat
116.	Fling Watersphere
117.	Waterball
118.	Fling Firesphere
119.	Detect
120.	Cloaking
121.	Sonic Blow (Part 1/2)
122.	Multi hit effect
123.	Grimtooth Cast
124.	Venom Dust
125.	Enchant Poison
126.	Poison React
127.	Small Posion React
128.	Over Thrust
129.	Venom Splasher Explosion
130.	Two-Hand Quicken
131.	Auto-Counter Hit
132.	Grimtooth Hit
133.	Ice Effect (Used by NPCs)
134.	Ice Effect (Used by NPCs)
135.	Ice Effect (Used by NPCs)
136.	Slow Poison
137.	Old Sanctuary Map Unit (unused)
138.	Fire pillar
139.	Sandman Trap
140.	Ressurection Aura
141.	Pneuma
142.	Heaven's Drive
143.	Sonic Blow (Part 2/2)
144.	Brandish Spear Pre-Hit Effect
145.	Shockwave Trap
146.	Shockwave Trap Hit
147.	Pierce Hit
148.	Pierce Cast Animation
149.	Bowling Bash
150.	Pierce Cast Animation
151.	Spear Boomerang Cast
152.	Turn Undead
153.	Increase Concentration
154.	Refine Success
155.	Refine Fail
156.	jobchange.str not found error
157.	levelup.str not found error
158.	Job Level Up
159.	PvP circle
160.	PvP Party Circle
161.	(Nothing)
162.	Snow
163.	White Sakura Leaves
164.	(Nothing)
165.	Comodo Fireworks Ball
166.	Energy Coat (Visual Effect)
167.	(Nothing)
168.	(Nothing)
169.	Energy Coat Animation
170.	Cart Revolution
171.	Venom Dust Map Unit
172.	Change Element (Dark)
173.	Change Element (Fire)
174.	Change Element (Water)
175.	Change Element (Wind)
176.	Change Element (Fire)
177.	Change Element (Earth)
178.	Change Element (Holy)
179.	Change Element (Poison)
180.	Darkness Attack
181.	Mental Breaker
182.	Magical Hit
183.	Self Destruction
184.	(Nothing)
185.	(Nothing)
186.	Combo Attack 1
187.	Combo Attack 2
188.	Combo Attack 3
189.	Combo Attack 4
190.	Combo Attack 5
191.	Guided Attack
192.	Poison Attack
193.	Silence Attack
194.	Stun Attack
195.	Petrify Attack
196.	Curse Attack
