ID	Ename

0	Default
501	Red Potion
502	Orange Potion
503	Yellow Potion
504	White Potion
505	Blue Potion
506	Green Potion
507	Red Herb
508	Yellow Herb
509	White Herb
510	Blue Herb
511	Green Herb
512	Apple
513	Banana
514	Grape
515	Carrot
516	Sweet Potato
517	Meat
518	Honey
519	Milk
520	Hinalle Leaflet
521	Aloe Leaflet
522	Mastela Fruit
523	Holy Water
525	Panacea
526	Royal Jelly
528	Monster's Feed
529	Candy
530	Candy Cane
531	Apple Juice
532	Banana Juice
533	Grape Juice
534	Carrot Juice
535	Pumpkin
536	Ice Cream
537	Pet Food
538	Well-baked Cookie
539	Piece of Cake
540	Falcon food
541	Pecopeco food
542	Festive Cookie
543	Festive Rainbow Cake
544	Raw Fish
545	Red Potion Bottle
546	Yellow Potion  Bottle
547	White Potion Bottle
548	Cheese
549	Hot Potato
550	Rice Popper
551	Sushi
552	Ketupat
553	Dumpling
554	Mochi
555	??
556	??????
557	??????_???_??????
558	Chocolate
559	Hand-made Chocolate
601	Fly Wing
602	Butterfly Wing
603	Old Blue Box
604	Branch of Dead tree
605	Anodyne
606	Aloevera
607	Yggdrasilberry
608	Yggdrasil Seed
609	Amulet
610	Yggdrasil Leaf
611	Magnifier
612	Mini Furnace
613	Iron Hammer
614	Golden Hammer
615	Oridecon Hammer
616	Old Card Album
617	Old Violet Box
618	Worn Out Scroll
619	Unripe Apple
620	Orange Juice
621	Bitter Herb
622	Rainbow Carrot
623	Earthworm the Dude
624	Rotten Fish
625	Rusty Iron
626	Monster Juice
627	Sweet Milk
628	Well Dried Bone
629	Singing Flower
630	Dew Laden Moss
631	Deadly Noxious Herb
632	Fatty Chubby Earthworm
633	Baked Yam
634	Tropical Banana
635	Horror of Tribe
636	No Recipient
637	Old Broom
638	Silver Knife of Chastity
639	Armlet of Obedience
640	Shining Stone
641	Contracts in Shadow
642	Book of Devil
643	Pet Incubator
644	Gift Box
645	Concentration Potion
656	Awakening Potion
657	Berserk Potion
658	Tribal Solidarity
659	Her Heart
660	Red Candle
661	Sky Apron
663	Rice Cake
664	Gift Box
665	Gift Box
666	Gift Box
667	Gift Box
668	Angpow
669	??????_??????_????
670	????
671	??
672	????
673	??
674	?????
675	??
676	????
677	???
678	??
679	???
701	Ora Ora
702	Animal Gore
703	Hinalle
704	Aloe
705	Clover
706	Four-Leaf Clover
707	Singing Plant
708	Ment
709	Izidor
710	Illusion Flower
711	Shoot
712	Flower
713	Empty Bottle
714	Emperium
715	Yellow Gemstone
716	Red Gemstone
717	Blue Gemstone
718	Garnet
719	Amethyst
720	Aquamarine
721	Emerald
722	Pearl
723	Ruby
724	Cursed Ruby
725	Sardonyx
726	Sapphire
727	Opal
728	Topaz
729	Zircon
730	1 Carat Diamond
731	2 Carat Diamond
732	3 Carat Diamond
733	Cracked Diamond
734	Red Frame
735	Chung Jah
736	China
737	Black Ladle
738	Pencil Case
739	Rouge
740	Puppet
741	Poring Doll
742	Chonchon Doll
743	Spore Doll
744	Bouquet
745	Wedding Bouquet
746	Glass Bead
747	Crystal Mirror
748	Witherless Rose
749	Frozen Rose
750	Baphomet Doll
751	Osiris Doll
752	Grasshopper Doll
753	Yoyo Doll
754	Raccoon Doll
756	Rough Oridecon
757	Rough Elunium
901	Danggie
902	Tree Root
903	Reptile Tongue
904	Scorpion Tail
905	Stem
906	Pointed Scale
907	Resin
908	Spawn
909	Jellopy
910	Garlet
911	Scell
912	Zargon
913	Tooth of Bat
914	Fluff
915	Chrysalis
916	Feather of Birds
917	Talon
918	Sticky Webfoot
919	Animal Skin
920	Wolf Claw
921	Mushroom Spore
922	Orc's Fang
923	Evil Horn
924	Powder of Butterfly
925	Bill of Birds
926	Snake Scale
928	Insect Feeler
929	Immortal Heart
930	Rotten Bandage
931	Orcish Voucher
932	Skel-Bone
934	Memento
935	Shell
936	Scale Shell
937	Venom Canine
938	Sticky Mucus
939	Bee Sting
940	Grasshopper's Leg
941	Nose Ring
942	Yoyo Tail
943	Solid Shell
944	Horseshoe
945	Raccoon Leaf
946	Snail's Shell
947	Horn
948	Bear's Footskin
949	Feather
950	Heart of Mermaid
951	Fin
952	Cactus Needle
953	Stone Heart
954	Shining Scale
955	Worm Peeling
956	Gill
957	Decayed Nail
958	Horrendous Mouth
959	Stinky Scale
960	Nipper
961	Conch
962	Tentacle
963	Sharp scale
964	Crap Shell
965	Clam Shell
966	Clam Flesh
967	Turtle Shell
968	Heroic Emblem
969	Gold
970	Alchol
971	Detrimindexta
972	Karvodailnirol
973	Counteragent
974	Mixture
975	Scarlet Dyestuffs
976	Lemon Dyestuffs
978	Cobaltblue Dyestuffs
979	Darkgreen Dyestuffs
980	Orange Dyestuffs
981	Violet Dyestuffs
982	White Dyestuffs
983	Black Dyestuffs
984	Oridecon
985	Elunium
986	Anvil
987	Oridecon Anvil
988	Golden Anvil
989	Emperium Anvil
990	Red Blood
991	Crystal Blue
992	Wind of Verdure
993	Green Live
994	Flame Heart
995	Mystic Frozen
996	Rough Wind
997	Great Nature
998	Iron
999	Steel
1000	Star Crumb
1001	Star Dust
1002	Iron Ore
1003	Coal
1004	Chivalry Emblem
1005	Hammer of Blacksmith
1006	Old Magic Book
1007	Necklace of Wisdom
1008	Necklace of Oblivion
1009	Hand of God
1010	Phracon
1011	Emveretarcon
1012	Frill
1013	Rainbow Shell
1014	Ant Jaw
1015	Tongue
1016	Rat Tail
1017	Mole Whiskers
1018	Mole Claw
1019	Trunk
1020	Black Hair
1021	Dokkaebi Horn
1022	Nine Tails
1023	Fish Tail
1024	Squid ink
1025	Cobweb
1026	Acorn
1027	Porcupine Quill
1028	Mane
1029	Tiger Skin
1030	Tiger's Footskin
1031	Mantis Scythe
1032	Maneater Blossom
1033	Maneater Root
1034	Blue Hair
1035	Dragon Canine
1036	Dragon Scale
1037	Dragon Tail
1038	Little Evil Horn
