//===== rAthena Script =======================================
//= Morocc Field Warp Script
//===== By: ==================================================
//= Nana (1.0)
//===== Current Version: =====================================
//= 1.4b
//===== Compatible With: =====================================
//= rAthena Project
//===== Description: =========================================
//= Warp Points for Morocc Fields
//===== Additional Comments: =================================
//= 1.1 changed 'anthell' to @anthell [Lupus]
//= 1.2 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 1.3 Updated warps for episode 12.1 [L0ne_W0lf]
//= 1.4 Uncommented warp that shouldn't have been commented. [L0ne_W0lf]
//= 1.4a Uncommented yet ANOTHER warp that was taken out. [L0ne_W0lf]
//= 1.4b Uncommented ANOTHER warp! Yay! :D [L0ne_W0lf]
//============================================================

//= Sograt Desert ===========================================
//moc_fild01,101,16,0	warp	mocf01-1	15,3,moc_fild04,317,376
moc_fild01,101,16,0	warp	mocf01-1	15,3,moc_fild20,210,342
moc_fild01,22,242,0	warp	mocf005	2,2,prt_fild09,380,237
moc_fild01,239,382,0	warp	mocf006	12,1,prt_fild08,233,20
moc_fild01,301,16,0	warp	mocf02	10,1,moc_fild02,77,338
moc_fild01,321,16,0	warp	mocf02-1	10,1,moc_fild02,77,338
moc_fild01,341,16,0	warp	mocf02-2	10,1,moc_fild02,77,338
moc_fild01,379,162,0	warp	mocf011	2,12,pay_fild04,20,165
moc_fild01,56,384,0	warp	moc007a	3,2,prt_fild08,54,24
//moc_fild01,68,16,0	warp	mocf01	15,3,moc_fild04,317,376
moc_fild02,228,29,0	warp	mocf03	4,2,moc_fild13,298,367
moc_fild02,332,19,0	warp	mocf04	5,3,moc_fild03,70,336
moc_fild02,350,339,0	warp	mocf012	6,2,pay_fild04,194,20
moc_fild02,67,342,0	warp	mocf02-3	11,3,moc_fild01,315,25
moc_fild02,71,18,0	warp	mocf05	4,2,moc_fild13,146,365
moc_fild02,92,342,0	warp	mocf02-4	11,3,moc_fild01,315,25
moc_fild03,17,37,0	warp	mocf06	2,4,moc_fild13,305,49
moc_fild03,179,16,0	warp	mocf013	4,2,pay_fild11,38,327
moc_fild03,303,170,0	warp	mocf014	2,7,pay_fild01,17,152
moc_fild03,70,341,0	warp	mocf04-1	5,2,moc_fild02,332,23
//moc_fild04,14,122,0	warp	mocf07-1	1,11,moc_fild05,378,119
//moc_fild04,14,146,0	warp	mocf07-2	1,11,moc_fild05,378,119
//moc_fild04,14,98,0	warp	mocf07	1,11,moc_fild05,378,119
//moc_fild04,175,18,0	warp	mocf08	3,2,moc_fild08,170,380
//moc_fild04,19,206,0	warp	mocf09	3,15,moc_fild05,373,208
//moc_fild04,219,327,0	script	mocf016	45,3,4,{ set @anthell,0; warp "anthell01",35,262; }
//moc_fild04,292,381,0	warp	mocf01-2	10,1,moc_fild01,76,25
//moc_fild04,314,381,0	warp	mocf01-3	10,1,moc_fild01,76,25
//moc_fild04,336,381,0	warp	mocf01-4	10,1,moc_fild01,76,25
//moc_fild04,92,381,0	warp	mocf008	9,2,prt_fild09,246,19
//moc_fild05,144,375,0	warp	mocf009	11,2,prt_fild10,263,23
