sprite_prefix	sex	body2	palette_indices
abyss_chaser	F	0	0,1,2,3,4,5,6,7
abyss_chaser	M	0	0,1,2,3,4,5,6,7
alitea	F	0	0,1,2,3,4,5,6,7
alitea	M	0	0,1,2,3,4,5,6,7
arch_mage	F	0	0,1,2,3,4,5,6,7
arch_mage	M	0	0,1,2,3,4,5,6,7
biolo	F	0	0,1,2,3,4,5,6,7
biolo	M	0	0,1,2,3,4,5,6,7
cardinal	F	0	0,1,2,3,4,5,6,7
cardinal	M	0	0,1,2,3,4,5,6,7
dragon_knight	F	0	0,1,2,3,4,5,6,7
dragon_knight	M	0	0,1,2,3,4,5,6,7
dragon_knight_chicken	F	0	0,1,2,3,4,5,6,7
dragon_knight_chicken	M	0	0,1,2,3,4,5,6,7
druid	F	0	0,1,2,3,4,5,6,7
druid	M	0	0,1,2,3,4,5,6,7
elemetal_master	F	0	0,1,2,3,4,5,6,7
elemetal_master	M	0	0,1,2,3,4,5,6,7
frog_kagerou	M	0	0,1,2,3,4,5,6,7
frog_oboro	F	0	0,1,2,3,4,5,6,7
hanbok	F	1	0,1,2,3,4,5,6,7
hanbok	M	1	0,1,2,3,4,5,6,7
hyper_novice	F	0	0,1,2,3,4,5,6,7
hyper_novice	M	0	0,1,2,3,4,5,6,7
imperial_guard	F	0	0,1,2,3,4,5,6,7
imperial_guard	M	0	0,1,2,3,4,5,6,7
imperial_guard_chicken	F	0	0,1,2,3,4,5,6,7
imperial_guard_chicken	M	0	0,1,2,3,4,5,6,7
inquisitor	F	0	0,1,2,3,4,5,6,7
inquisitor	M	0	0,1,2,3,4,5,6,7
kagerou	M	0	0,1,2,3,4,5,6,7
kagerou	M	1	0,1,2,3
karnos	F	0	0,1,2,3,4,5,6,7
karnos	M	0	0,1,2,3,4,5,6,7
meister	F	0	0,1,2,3,4,5,6,7
meister	M	0	0,1,2,3,4,5,6,7
meister_madogear1	F	0	0,1,2,3,4,5,6,7
meister_madogear1	M	0	0,1,2,3,4,5,6,7
meister_madogear2	F	0	0,1,2,3,4,5,6,7
meister_madogear2	M	0	0,1,2,3,4,5,6,7
night_watch	F	0	0,1,2,3,4,5,6,7
night_watch	F	1	0,1,2,3
night_watch	M	0	0,1,2,3,4,5,6,7
night_watch	M	1	0,1,2,3
oboro	F	0	0,1,2,3,4,5,6,7
oboro	F	1	0,1,2,3
oktoberfest	F	1	0,1,2,3,4,5,6,7
oktoberfest	M	1	0,1,2,3,4,5,6,7
peco_rebellion	F	0	0,1,2,3,4,5,6,7
peco_rebellion	M	0	0,1,2,3,4,5,6,7
santa	F	1	0,1,2,3,4,5,6,7
santa	M	1	0,1,2,3,4,5,6,7
shadow_cross	F	0	0,1,2,3,4,5,6,7
shadow_cross	M	0	0,1,2,3,4,5,6,7
shinkiro	M	0	0,1,2,3,4,5,6,7
shiranui	F	0	0,1,2,3,4,5,6,7
sky_emperor	F	0	0,1,2,3,4,5,6,7
sky_emperor	M	0	0,1,2,3,4,5,6,7
sky_emperor2	F	0	0,1,2,3,4,5,6,7
sky_emperor2	M	0	0,1,2,3,4,5,6,7
soul_ascetic	F	0	0,1,2,3,4,5,6,7
soul_ascetic	M	0	0,1,2,3,4,5,6,7
spirit_handler	F	0	0,1,2,3,4,5,6,7
spirit_handler	M	0	0,1,2,3,4,5,6,7
summer	F	1	0,1,2,3,4,5,6,7
summer	M	1	0,1,2,3,4,5,6,7
summer2	F	1	0,1,2,3,4,5,6,7
summer2	M	1	0,1,2,3,4,5,6,7
troubadour	M	0	0,1,2,3,4,5,6,7
trouvere	F	0	0,1,2,3,4,5,6,7
windhawk	F	0	0,1,2,3,4,5,6,7
windhawk	M	0	0,1,2,3,4,5,6,7
wolf_windhawk	F	0	0,1,2,3,4,5,6,7
wolf_windhawk	M	0	0,1,2,3,4,5,6,7
건너	F	0	0,1,2,3,4,5,6,7
건너	F	1	0,1,2,3
건너	M	0	0,1,2,3,4,5,6,7
건너	M	1	0,1,2,3
검사	F	0	0,1,2,3,4
검사	F	1	0,1,2,3,4
검사	M	0	0,1,2,3,4
검사	M	1	0,1,2,3,4
검사페코	F	0	0,1,2,3,4
검사페코	F	1	0,1,2,3
검사페코	M	0	0,1,2,3,4
검사페코	M	1	0,1,2,3
결혼	F	1	0,1,2,3,4,5,6,7
결혼	M	1	0,1,2,3,4,5,6,7
궁수	F	0	0,1,2,3,4
궁수	F	1	0,1,2,3,4
궁수	M	0	0,1,2,3,4
궁수	M	1	0,1,2,3,4
권성	F	0	0,1,2,3,4,5,6,7
권성	F	1	0,1,2,3
권성	M	0	0,1,2,3,4,5,6,7
권성	M	1	0,1,2,3
권성융합	F	0	0,1,2,3,4,5,6,7
권성융합	M	0	0,1,2,3,4,5,6,7
권성포링	F	0	0,1,2,3,4,5,6,7
권성포링	M	0	0,1,2,3,4,5,6,7
그리폰가드	F	0	0,1,2,3,4,5,6,7
그리폰가드	F	1	0,1,2,3,4,5,6,7
그리폰가드	M	0	0,1,2,3,4,5,6,7
그리폰가드	M	1	0,1,2,3,4,5,6,7
그리폰로얄	F	0	0,1,2,3
그리폰로얄	F	1	0,1,2,3
그리폰로얄	M	0	0,1,2,3
그리폰로얄	M	1	0,1,2,3
기사	F	0	0,1,2,3,4
기사	F	1	0,1,2,3,4
기사	M	0	0,1,2,3,4
기사	M	1	0,1,2,3,4
길로틴크로스	F	0	0,1,2,3,4,5,6,7
길로틴크로스	F	1	0,1,2,3,4,5,6,7
길로틴크로스	M	0	0,1,2,3,4,5,6,7
길로틴크로스	M	1	0,1,2,3,4,5,6,7
노비스포링	F	0	0,1,2,3,4,5,6,7,8
노비스포링	M	0	0,1,2,3,4,5,6,7,8
닌자	F	0	0,1,2,3,4,5,6,7
닌자	F	1	0,1,2,3
닌자	M	0	0,1,2,3,4,5,6,7
닌자	M	1	0,1,2,3
댄서	F	0	0,1,2,3
댄서	F	1	0,1,2,3
도둑	F	0	0,1,2,3,4
도둑	F	1	0,1,2,3,4
도둑	M	0	0,1,2,3,4
도둑	M	1	0,1,2,3,4
두꺼비닌자	F	0	0,1,2,3,4,5,6,7
두꺼비닌자	M	0	0,1,2,3,4,5,6,7
두꺼비소울링커	F	0	0,1,2,3,4,5,6,7
두꺼비소울링커	M	0	0,1,2,3,4,5,6,7
레인저	F	0	0,1,2,3,4,5,6,7
레인저	F	1	0,1,2,3,4,5,6,7
레인저	M	0	0,1,2,3,4,5,6,7
레인저	M	1	0,1,2,3,4,5,6,7
로그	F	0	0,1,2,3
로그	F	1	0,1,2,3
